Rid,Rname,URL,Street,City,State,Phone,Zipcode,Openhrs,Closehrs,WiFi,Pricerange
100125,Sail & Ski Yacht Club,,16406 Stewart Rd,Austin,TX,(512) 266-2507,40277,6:00,21:00,N,3
100126,Denny's,http://www.dennys.com,7619 E Ben White Blvd,Austin,TX,(512) 389-0013,42417,8:00,21:00,Y,5
100127,Catfish Parlour,,"111 W Anderson Ln, Ste D199",Austin,TX,(512) 454-2729,91567,8:00,23:00,Y,4
100128,Thunder Cloud Subs,,360 Nueces St,Austin,TX,(512) 472-7827,35507,11:00,22:00,N,1
100129,J R's Bar B Que,,"1900 Rosewood Ave, # A",Austin,TX,(512) 600-6995,33879,9:00,23:00,Y,3
100130,Panda Express,http://www.pandaexpress.com,5764 Airport Blvd,Austin,TX,(512) 459-8890,88344,11:00,21:00,N,2
100131,Straight 2 Your Door Austin,,600 W 28th St,Austin,TX,(512) 394-6888,62697,11:00,20:00,N,1
100132,Goodrum's Inc,,4400 Oak Creek Dr,Austin,TX,(512) 255-7673,54037,9:00,23:00,Y,3
100133,Haljohn Inc,,"704 E Wonsley Dr, Ste 100",Austin,TX,(512) 837-2551,56688,11:00,20:00,N,1
100134,Whataburger,http://www.whataburger.com,6301 W Parmer Ln,Austin,TX,(512) 996-8766,19173,9:00,23:00,N,3
100135,La Chaparrita Restaurant,http://www.lachaparritaaustin.com,6001 Airport Blvd,Austin,TX,(512) 323-5404,88774,9:00,20:00,N,4
100136,Coco Paloma Desserts,,6701 Burnet Rd,Austin,TX,(512) 419-1582,63451,9:00,22:00,Y,2
100137,Get Sum,http://www.getsumdimsum.com,"4400 N Lamar Blvd, Ste 102",Austin,TX,(512) 458-9000,89402,8:00,23:00,N,5
100138,Katz's Catering,,618 W 6th St,Austin,TX,(512) 472-2837,32945,6:00,21:00,Y,1
100139,Cuisines of Mexico Inc,http://www.fondasanmiguel.com,2330 W North Loop Blvd,Austin,TX,(512) 459-3401,72046,11:00,20:00,N,2
100140,My Fit Foods,,"4301 W William Cannon Dr, # G",Austin,TX,(512) 358-0123,68552,9:00,23:00,Y,4
100141,Los Agabes Restaurant,,1729 E Riverside Dr,Austin,TX,(512) 707-1878,48607,9:00,20:00,N,5
100142,McDonalds,http://www.mcdonalds.com,13813 N Mo Pac Expy,Austin,TX,(512) 244-2996,39873,11:00,20:00,N,2
100143,Mirabelle,http://www.mirabellerestaurant.com,11006 Yucca Dr,Austin,TX,(512) 346-7900,93850,11:00,23:00,Y,3
100144,TKO Nutrition Smoothies,http://www.tkonutrition.com,"9003 Waterford Centre Blvd, # 1",Austin,TX,(512) 228-3700,19895,6:00,21:00,Y,3
100145,Taqueria Chapala,,2101 E Cesar Chavez St,Austin,TX,(512) 320-0308,36189,11:00,22:00,Y,2
100146,Bossa Nova Coffeehouse & Bkry,,"2121 E 6th St, Apt 101",Austin,TX,(512) 478-8700,50028,11:00,22:00,N,1
100147,Souper Salads Restaurants,,11066 PECAN PARK BLVD,Austin,TX,(512) 336-0784,20407,6:00,22:00,N,1
100148,Hwa Yuan Chinese Restaurant,,"11150 Research Blvd, Ste 201",Austin,TX,(512) 345-9866,94143,11:00,22:00,N,1
100149,Austin Catering,http://www.austin-catering.com,8530 Burnet Rd,Austin,TX,(512) 291-6180,69142,6:00,21:00,N,2
100150,Sandwich Joint,,"5035 Burnet Rd, Ste 100",Austin,TX,(512) 524-2917,31526,9:00,23:00,Y,5
100151,Amaya's Taco Village,http://www.amayastacovillage.com,5405 N I H 35,Austin,TX,(512) 458-2531,88878,6:00,23:00,N,3
100152,Plaza Grill,http://www.culinaire.com,5901 N I H 35,Austin,TX,(512) 450-0203,42537,11:00,22:00,N,4
100153,Bistro 88,http://www.bistro88.com,3601 Aspen Creek Pkwy,Austin,TX,(512) 328-8888,47690,8:00,23:00,N,5
100154,Short Stop,,"5609 Adams Ave, Ste A",Austin,TX,(512) 453-7839,58901,6:00,21:00,N,3
100155,Chen's Noodle House,,"8650 Spicewood Springs Rd, Ste 127",Austin,TX,(512) 336-8888,77399,8:00,21:00,Y,3
100156,Eastside Pies,http://www.eastsidepies.com,5312 Airport Blvd,Austin,TX,(512) 454-7437,64226,11:00,22:00,Y,5
100157,Wanfu 3,,6801 AIR PORT BLVD,Austin,TX,(512) 459-5200,67436,8:00,22:00,Y,4
100158,Thunder Cloud Subs,,"2801 S Lamar Blvd, Ste B",Austin,TX,(512) 443-0960,21625,11:00,22:00,Y,3
100159,Soco Burgers,,2400 S Congress Ave,Austin,TX,(512) 383-8344,73265,9:00,20:00,N,3
100160,Quiznos,http://www.quiznos.com,"3926 Ed Bluestein Blvd, Ste B",Austin,TX,(512) 929-9999,39087,11:00,22:00,N,5
100161,E Z's Restaurants,http://www.ezsrestaurants.com,3918 N Lamar Blvd,Austin,TX,(512) 302-1800,71818,11:00,22:00,N,2
100162,Taco Cabana,http://www.tacocabana.com,2117 W Ben White Blvd,Austin,TX,(512) 462-2242,41795,9:00,22:00,Y,5
100163,Eleventh Street Sta Rstrnt,http://www.11thstreetstation.com,"1050 E 11th St, Ste 100",Austin,TX,(512) 391-2331,86256,11:00,21:00,Y,3
100164,Romano's Macaroni Grill,http://www.macaronigrill.com,"701 E Stassney Ln, Ste B",Austin,TX,(512) 693-9014,44163,9:00,20:00,N,4
100165,Gatti's Pizza,http://www.gattispizza.com,3720 Far West Blvd,Austin,TX,(512) 459-2222,33056,11:00,21:00,N,5
100166,Wing Street,http://www.pizzahut.com,"13717 N Mo Pac Expy, Ste 225",Austin,TX,(512) 388-5252,53508,6:00,21:00,Y,5
100167,Schlotzsky's Deli,http://www.schlotzskys.com,"3600 Presidential Blvd, Ste 201",Austin,TX,(512) 530-2900,68479,8:00,23:00,Y,2
100168,Hooters,http://www.hooters.com,2700 S I H 35,Austin,TX,(512) 733-0108,40474,8:00,21:00,Y,2
100169,Rockin Tomato Pizza,,"1921 Cedar Bend Dr, Ste 120A",Austin,TX,(512) 833-5656,48081,11:00,22:00,Y,1
100170,Wendy's,http://www.wendys.com,6428 S I H 35,Austin,TX,(512) 447-7448,52710,6:00,23:00,Y,1
100171,Booster Juice,http://www.boosterjuice.com,11121 Savin Hill Ln,Austin,TX,(512) 350-2346,75508,9:00,22:00,N,4
100172,M N & J's Rocky Creek BBQ,,17503 Hamilton Pool Rd,Austin,TX,(512) 264-1232,55212,6:00,20:00,N,4
100173,Austi Trattoria,,412 E 43rd St,Austin,TX,(512) 419-0912,52990,9:00,23:00,N,1
100174,Souper Salad,http://www.soupersalad.com,12901 N I H 35,Austin,TX,(512) 252-6322,23882,6:00,23:00,Y,4
100175,Austin Engineering Co Inc,http://www.aecoi.net,3317 Ranch Road 620 N,Austin,TX,(512) 327-1464,26445,11:00,21:00,N,5
100176,Ill Cater To You,,4702 Little Hill Cir,Austin,TX,(512) 929-0293,68151,9:00,21:00,Y,1
100177,Menchie's Frozen Yogurt,http://www.menchies.com,"4001 N Lamar Blvd, Ste 550",Austin,TX,(512) 452-9866,89601,11:00,22:00,Y,3
100178,Pinball Arcade & Cafe,http://www.pinballzarcade.com,8940 Research Blvd,Austin,TX,(512) 420-8458,21279,11:00,21:00,Y,2
100179,Quiznos,http://www.quiznos.com,"6406 N I H 35, Ste 2510",Austin,TX,(512) 420-8585,57709,9:00,21:00,Y,3
100180,Deli 360,,"6805 N Capital of Texas Hwy, Ste 230",Austin,TX,(512) 338-8901,93216,8:00,22:00,N,5
100181,Delaware Sub Shop,http://www.delawaresub.com,"6626 Silvermine Dr, Ste 400",Austin,TX,(512) 306-1744,29650,9:00,23:00,Y,5
100182,Fox & Hound Pub & Grille,,401 GUADALUPE ST,Austin,TX,(512) 494-1200,64700,9:00,23:00,Y,2
100183,Estancia Churrascaria,http://www.estanciachurrascaria.com,10000B Research Blvd,Austin,TX,(512) 892-1226,16308,8:00,23:00,N,2
100184,Z Tejas Grill,,10525 W Parmer Ln,Austin,TX,(512) 733-8646,89878,8:00,22:00,Y,1
100185,Pok-E-Jo's Smokehouse Inc,http://www.pokejos.com,12905 Burnet Rd,Austin,TX,(512) 833-0212,90852,6:00,21:00,N,4
100186,Golden Chick,http://www.goldenchick.com,616 W Stassney Ln,Austin,TX,(512) 445-4242,25885,9:00,21:00,Y,1
100187,Union Park,,612 W 6th St,Austin,TX,(512) 478-7275,42258,11:00,20:00,N,4
100188,Smokey Mos,http://www.smokeymosbbq.com,1601 S I H 35,Austin,TX,(512) 828-4050,89278,6:00,23:00,N,2
100189,People's Pharmacy,http://www.peoplesrx.com,"4201 Westbank Dr, Ste B",Austin,TX,(512) 327-8868,85612,8:00,23:00,N,3
100190,China Coast,http://www.chinacoastaustin.com,2100 Cypress Pt W,Austin,TX,(512) 330-9524,15891,9:00,20:00,N,4
100191,Saziang Restaurant,,12636 Research Blvd,Austin,TX,(512) 250-8400,62022,8:00,23:00,N,3
100192,Wendy's,http://www.wendys.com,5760 Airport Blvd,Austin,TX,(512) 454-8228,46015,11:00,23:00,N,3
100193,Taqueria Los Jaliscienses,,105 Tillery St,Austin,TX,(512) 385-8002,54090,6:00,20:00,N,2
100194,Top Dawgs Bar & Grill,,1510 E Cesar Chavez St,Austin,TX,(512) 476-1833,52233,6:00,21:00,N,1
100195,Restaurant Freedom,http://www.restaurantfreedom.com,1710 Evergreen Ave,Austin,TX,(512) 804-0326,73531,9:00,23:00,N,1
100196,12 Oaks Ranch,,15210 Fitzhugh Rd,Austin,TX,(512) 263-6950,35214,9:00,22:00,N,5
100197,Mangia Chicago Stuffed Pizza,,7950 Anderson Sq,Austin,TX,(512) 451-4303,58468,9:00,21:00,N,1
100198,Red Shack BBQ,,9801 Curlew Dr,Austin,TX,(512) 363-5099,59928,9:00,22:00,N,2
100199,TCG Solutions,http://www.tcgsolutions.com,"901 S Mo Pac Expy, Ste I220",Austin,TX,(512) 329-0770,73961,6:00,20:00,Y,1
100200,Pappasito's Cantina,http://www.pappasitos.com,6513 N I H 35,Austin,TX,(512) 459-9214,82927,11:00,21:00,N,3
100201,Burger King,http://www.bk.com,7105 N I H 35,Austin,TX,(512) 419-0403,17081,8:00,22:00,N,4
100202,Double Dave's Pizzaworks,http://www.doubledaves.com,"11900 Metric Blvd, Ste F",Austin,TX,(512) 719-3283,84004,9:00,22:00,Y,2
100203,Z Pizza,,"5701 W Slaughter Ln, Bldg A160",Austin,TX,(512) 394-9313,67455,11:00,20:00,Y,3
100204,Hat Creek Burger Co,,5902 Bee Cave Rd,Austin,TX,(512) 306-0051,68946,9:00,21:00,Y,4
100205,Rick's Cabaret,http://www.ricks.com,8110 Springdale Rd,Austin,TX,(512) 520-8777,23457,11:00,20:00,N,5
100206,Torchy's Tacos,http://www.torchystacos.com,1402 Hether St,Austin,TX,(512) 514-0767,43765,6:00,21:00,Y,2
100207,Rockin Tomato Pizza Co,http://www.rockintomato.com,"13729 N Highway 183, Ste 690",Austin,TX,(512) 335-3283,82315,9:00,23:00,Y,3
100208,Seoul Garden,,10713 Bay Laurel Trl,Austin,TX,(512) 821-9888,49805,9:00,20:00,Y,2
100209,Mc Cormick & Schmick's Seafood,http://www.mccormickandschmicks.com,"11600 Century Oaks Ter, Ste 100",Austin,TX,(512) 836-0500,49690,9:00,23:00,Y,5
100210,Hutson-Tillotson University,,900 Chicon St,Austin,TX,(512) 505-3000,49757,9:00,23:00,N,3
100211,Magnolia Cafe's Office,http://www.themagnoliacafe.com,2000 S Congress Ave,Austin,TX,(512) 447-7636,86769,8:00,22:00,N,5
100212,Screaming Goat,http://www.thescreaminggoat.com,900 W 10th St,Austin,TX,(512) 477-4628,69476,9:00,22:00,N,1
100213,Quiznos,http://www.quiznos.com,"7900 N FM 620, Ste 105",Austin,TX,(512) 243-5067,73942,9:00,23:00,N,3
