DishID,CuisineID,Dish,TotalRating,Totalraters
86,87,Pizza capricciosa,2,585
87,88,Pizza quattro stagioni,3,586
88,89,mozzarella,4,587
89,90,Pizza ai quattro formaggi,5,588
90,91,Pizza ai funghi e salsicce,1,589
91,92,Calzone,2,590
92,1,Agnolotti,3,591
93,2,Bavette,4,592
94,3,Cannelloni,5,593
95,4,Conchiglie,1,594
96,5,Ditalini,2,595
97,6,Farfalle,3,596
98,7,Garganelli,4,597
99,8,Gnocchi,5,598
100,9,Lasagna,1,599
101,10,Maccheroni,2,600
102,11,orecchiette,3,601
103,12,Orzo,4,602
104,13,panzarotti,5,603
105,14,Ravioli,1,604
106,15,Spaghetti,2,605
107,16,tagliatelle,3,606
108,17,Vermicelli,4,607
109,18,Ziti,5,608
110,19,Ciceri e Tria,1,609
111,20,Amatriciana,2,610
112,21,Cannelloni al rag¨´,3,611
113,22,Carbonara,4,612
114,23,Fettucine Alfredo,5,613
115,24,Clam sauce,1,614
116,25,Penne all'arrabbiata,2,615
117,26,Rigatoni con la Pajata,3,616
118,27,Spaghetti alla Carrettiera,4,617
119,28,Tagliatelle alla boscaiola,5,618
120,29,Lasagne,1,619
121,30,Ziti,2,620
122,31,Ravioli,3,621
123,32,pasta al pesto,4,622
124,33,Arancini,5,623
125,34,Risotto,1,624
126,35,Risotto alla milanese,2,625
127,36,rice and peas,3,626
128,37,Risotto con la l¨¹ganega,4,627
129,38,Riso alla toscana,5,628
130,39,Riso al nero di seppia,1,629
131,40,Riso con i porcini,2,630
132,41,Risotto alla sbirraglia,3,631
133,42,Risotto alla zucca,4,632
134,43,Risotto di seppie alla veneziana,5,633
135,44,Sformato al basilico,1,634
136,45,Sformato di riso dolce,2,635
137,46,"Tiella di riso, patate e cozze",3,636
138,47,Risotto ai gamberoni,4,637
139,48,Risotto ai quattro sapori,5,638
140,49,Risotto al cavolfiore,1,639
141,50,Risotto al gorgonzola,2,640
142,51,Riso tonnato,3,641
143,52,Riso valdostano,4,642
144,53,Risotto saltato,5,643
145,54,Risotto al Barolo,1,644
146,55,Risotto con scamorza e champagne,2,645
147,56,Risotto indivia e fiori di zucca,3,646
148,57,Risotto allo zafferano con petto d'anatra,4,647
149,58,Risotto alla marinara,5,648
150,59,Risotto con agoni,1,649
151,60,Baccal¨¤,2,650
152,61,Cacciucco,3,651
153,62,"Alici, Sardine, Anguilla marinate",4,652
154,63,Seppioline in umido,5,653
155,64,Missultin e polenta,1,654
156,65,Fritata di bianchetti,2,655
157,66,Fritto misto di pesce,3,656
158,67,Orate al forno,4,657
159,68,Acciughe fritte in pastella,5,658
160,69,Acciughe in carpione,1,659
161,70,Acquadella o latterino fritto,2,660
162,71,Acqua pazza,3,661
163,72,Agghiotta di pesce spada,4,662
164,73,Anguilla marinata,5,663
165,74,Baccal¨¤ alla vicentina,1,664
166,75,Baccal¨¤ fritto,2,665
167,76,Branzino al sale,3,666
168,77,Brodetto di arselle,4,667
169,78,Buridda,5,668
170,79,Calamaretti fritti,1,669
171,80,Calamari in zimino,2,670
172,81,Calamari ripieni,3,671
173,82,Capesante alla veneziana,4,672
174,83,Cappon magro,5,673
175,84,Carpaccio di pesce,1,674
176,85,Cartoccio di pesce spada,2,675
177,86,Cozze alla tarantina,3,676
178,87,Cozze fritte alla viareggina,4,677
179,88,Cozze ripiene,5,678
180,89,Filetti di baccal¨¤,1,679
181,90,Filetti di orata al cartoccio,2,680
182,91,Frittura mista di pesce,3,681
183,92,Grancevola alla veneziana,4,682
184,1,Impanata di pesce spada,5,683
185,2,Involtini di pesce,1,684
186,3,Moscardini lessati alla genovese,2,685
187,4,Murena fritta,3,686
188,5,Nasello al forno,4,687
189,6,Orata arrosto,5,688
190,7,Pepata di cozze,1,689
191,8,Pesce a scabecciu,2,690
192,9,Pesce al cartoccio,3,691
193,10,Pesce alla pizzaiola,4,692
194,11,Pesce spada alla siciliana,5,693
195,12,Pesce Spada arrosto in salmoriglio,1,694
196,13,Polpettine di mare,2,695
197,14,Sarde a beccafico,3,696
198,15,Sarde arraganate (sarde con origano e pane),4,697
199,16,Sarde grigliate,5,698
200,17,Sarde ripiene,1,699
201,18,Sarde sfiziose panate,2,700
202,19,Sardele in saor,3,701
203,20,Sbroscia bolsenese,4,702
204,21,Scampi a zuppetta,5,703
205,22,Scampi gratinati,1,704
206,23,Seppie col nero alla veneziana,2,705
207,24,Seppie con i piselli,3,706
208,25,Seppie ripiene,4,707
209,26,Sogliole alla mugnaia,5,708
210,27,Spiedini ai frutti di mare,1,709
211,28,Spiedini di alici,2,710
212,29,Spiedini di anguilla,3,711
213,30,Stoccafisso alla genovese,4,712
214,31,Stoccafisso alla ligure,5,713
215,32,Tonno sott'olio,1,714
216,33,Tortiera di cozze,2,715
217,34,Totano imbottito,3,716
218,35,Triglie alla livornese,4,717
219,36,Zuppa di pesce,5,718
220,37,Abbacchio brodettato,1,719
221,38,Abbacchio Alla Cacciatora,2,720
222,39,Braciole,3,721
223,40,Bresaola,4,722
224,41,Cacciatore,5,723
225,42,Capicollo,1,724
226,43,Carne Pizzaiola,2,725
227,44,Coda alla vaccinara,3,726
228,45,Cotechino Modena,4,727
229,46,Cotoletta alla milanese,5,728
230,47,Guanciale,1,729
231,48,Mortadella,2,730
232,49,Osso buco,3,731
233,50,Pancetta,4,732
234,51,Pezzetti di cavallo,5,733
235,52,Prosciutto di Parma,1,734
236,53,Prosciutto cotto,2,735
237,54,Prosciutto crudo,3,736
238,55,Saltimbocca alla Romana,4,737
239,56,Salame,5,738
240,57,Salsiccia,1,739
241,58,Soppressata,2,740
242,59,Speck Alto Adige PGI,3,741
243,60,Trippa alla Romana,4,742
244,61,Violino Valtell,5,743
245,62,veal,1,744
246,63,Caponata,2,745
247,64,Carciofi alla romana,3,746
248,65,Panzanella,4,747
249,66,Peperonata,5,748
250,67,Pinzimonio,1,749
251,68,Abruzzi,2,750
252,69,Montepulciano d'Abruzzo,3,751
253,70,Trebbiano d'Abruzzo,4,752
254,71,Calabria,5,753
255,72,Emilia-Romagna,1,754
256,73,Sangiovese,2,755
257,74,Lambrusco,3,756
258,75,Pignoletto,4,757
259,76,Gutturnio,5,758
260,77,Bonarda,1,759
261,78,Trebbiano,2,760
262,79,Albana,3,761
263,80,Campania,4,762
264,81,Greco di Tufo,5,763
265,82,Taurasi,1,764
266,83,Fiano di Avellino,2,765
267,84,Lacryma Cristi,3,766
268,85,Aglianico del Taburno,4,767
269,86,Campi Flegrei,5,768
270,87,Falerno del Massico,1,769
271,88,Solopaca,2,770
272,89,Friuli-Venezia Giulia,3,771
273,90,Friulano,4,772
274,91,Liguria,5,773
275,92,Cinque Terre,1,774
276,1,Lombardia,2,775
277,2,Franciacorta,3,776
278,3,Oltrep¨° Pavese,4,777
279,4,Barbera,5,778
280,5,Marche,1,779
281,6,Verdicchio,2,780
282,7,Conero,3,781
283,8,Piceno,4,782
284,9,disambiguation needed,5,783
285,10,Piemonte,1,784
286,11,Alba,2,785
287,12,Acqui,3,786
288,13,Asti,4,787
289,14,Barolo,5,788
290,15,Carema Riserva,1,789
291,16,Colli Tortonesi,2,790
292,17,Gattinara,3,791
293,18,Grignolino,4,792
294,19,Gavi,5,793
295,20,Langhe,1,794
296,21,Monferrato,2,795
297,22,Nebbiolo,3,796
298,23,Ovada,4,797
299,24,Puglia,5,798
300,25,Negroamaro,1,799
301,26,Sardegna,2,800
302,27,Cagliari,3,801
303,28,Monti,4,802
304,29,disambiguation needed,5,803
305,30,Nuragus,1,804
306,31,Ogliastra,2,805
307,32,Cannonau,3,806
308,33,Sicilia,4,807
309,34,Etna,5,808
310,35,Noto,1,809
311,36,Passito di Pantelleria,2,810
312,37,Marsala,3,811
313,38,Nero d'Avola,4,812
314,39,Donna Fugata,5,813
315,40,Toscana,1,814
316,41,Bolgheri,2,815
317,42,Carignano,3,816
318,43,Chianti,4,817
319,44,Colli Apuani,5,818
320,45,Colli Etruria Centrale,1,819
321,46,Colline Lucchesi,2,820
322,47,Elba,3,821
323,48,Scansano,4,822
324,49,Montalcino,5,823
325,50,Montescudaio,1,824
326,51,Nipozzano,2,825
327,52,Vino Nobile di Montepulciano,3,826
328,53,Parrina,4,827
329,54,Pitigliano,5,828
330,55,San Gimignano,1,829
331,56,Val di Chiana,2,830
332,57,Val di Cornia,3,831
333,58,Valdinievole,4,832
334,59,Valle di Arbia,5,833
335,60,Umbria,1,834
336,61,Orvieto,2,835
337,62,Torgiano,3,836
338,63,Rosso di Montefalco,4,837
339,64,Sagrantino,5,838
340,65,Grechetto,1,839
341,66,Veneto,2,840
342,67,Amarone,3,841
343,68,Bardolino,4,842
344,69,Colli Euganei,5,843
345,70,Conegliano Veneto,1,844
346,71,Custoza,2,845
347,72,Prosecco,3,846
348,73,Soave,4,847
349,74,Valdobbiadene,5,848
350,75,Valpolicella,1,849
351,76,Asiago,2,850
352,77,Bel Paese,3,851
353,78,Bitto,4,852
354,79,Bra,5,853
355,80,Burrini,1,854
356,81,Burrata,2,855
357,82,Butirro,3,856
358,83,Caciocavallo,4,857
359,84,Cacioricotta,5,858
360,85,Canestrato,1,859
361,86,Cas¨¨cc,2,860
362,87,Castelmagno,3,861
363,88,Caprino,4,862
364,89,Casiello,5,863
365,90,Casu modde,1,864
366,91,Ciccillo,2,865
367,92,Crescenza,3,866
368,1,Fontina,4,867
369,2,Fiore Sardo,5,868
370,3,Formai de mut,1,869
371,4,Giuncata,2,870
372,5,Grana Padano,3,871
373,6,Gorgonzola,4,872
374,7,Marzolino,5,873
375,8,Marzotica,1,874
376,9,Mascarpone,2,875
377,10,Mozzarella,3,876
378,11,Montasio,4,877
379,12,Monte Veronese,5,878
380,13,Murazzano,1,879
381,14,Parmigiano Reggiano,2,880
382,15,Pecorino,3,881
383,16,Pecorino Sardo,4,882
384,17,Piacentinu,5,883
385,18,Provolone,1,884
386,19,Ragusano,2,885
387,20,Raschera,3,886
388,21,Ricotta,4,887
389,22,Ricotta salata,5,888
390,23,Robiola,1,889
391,24,Slattato,2,890
392,25,Stracchino,3,891
393,26,Taleggio,4,892
394,27,Toma,5,893
395,28,Tumazzu,1,894
396,29,Aceto dolce,2,895
397,30,[1],3,896
398,31,Anisette,4,897
399,32,Bab¨¤,5,898
400,33,Biscotti,1,899
401,34,Biscuit Tortoni,2,900
402,35,Cannolo siciliano,3,901
403,36,Cassata siciliana,4,902
404,37,Chiacchiere,5,903
405,38,Ciarduna,1,904
406,39,Crostata,2,905
407,40,Frutti di bosco,3,906
408,41,Gelato,4,907
409,42,Gianduiotto,5,908
410,43,Granita,1,909
411,44,Macedonia (fruit salad),2,910
412,45,Panna cotta,3,911
413,46,Pandoro,4,912
414,47,Panettone,5,913
415,48,Panforte,1,914
416,49,Pastiera,2,915
417,50,Pignolata,3,916
418,51,Pizzelle,4,917
419,52,Semifreddo,5,918
420,53,Sfogliatelle,1,919
421,54,Tiramis¨´,2,920
422,55,Torta caprese,3,921
423,56,Struffoli,4,922
424,57,Zabaglione,5,923
425,58,Bicerin,1,924
426,59,Caff¨¨ corretto,2,925
427,60,Caff¨¨ macchiato,3,926
428,61,Caffelatte,4,927
429,62,Cappuccino,5,928
430,63,Espresso,1,929
431,64,Grolla dell'amicizia,2,930
432,65,Marocchino,3,931
433,66,Ristretto,4,932
434,67,Bistecca alla fiorentina,5,933
435,68,Baccal¨¤ alla Vicentina,1,934
436,69,Lasagna,2,935
437,70,Pasta e fagioli,3,936
438,71,Pizza,4,937
439,72,Rag¨´ alla bolognese,5,938
440,73,Salsiccia,1,939
441,74,Ossobuco,2,940
442,75,Pollo alla cacciatora,3,941
443,76,Tortellini,4,942
444,77,Brovada,5,943
445,78,turnips,1,944
446,79,Frico,2,945
447,80,Montasio,3,946
448,81,Jota,4,947
449,82,Prosciutto,5,948
450,83,Galani,1,949
451,84,pasta,2,950
452,85,polenta,3,951
453,86,radicchio,4,952
454,87,peas,5,953
455,88,Province of Verona,1,954
456,89,sardines,2,955
457,90,Speck,3,956
458,91,Canederli,4,957
459,92,Sauerkraut,5,958
460,1,ravioli,1,959
461,2,rice,2,960
462,3,Panettone,3,961
463,4,Milanese,4,962
464,5,Torrone,5,963
465,6,Mostarda,1,964
466,7,Pizzoccheri,2,965
467,8,buckwheat,3,966
468,9,savoy cabbage,4,967
469,10,rice,5,968
470,11,risotto,1,969
471,12,Gnocchi,2,970
472,13,semolina,3,971
473,14,Bagna cauda,4,972
474,15,anchovies,5,973
475,16,steak tartare,1,974
476,17,veal,2,975
477,18,hare,3,976
478,19,pears,4,977
479,20,Panna cotta,5,978
480,21,cream,1,979
481,22,gnocchi,2,980
482,23,Moneglia,3,981
483,24,salt cod,4,982
484,25,flan,5,983
485,26,Bagnun,1,984
486,27,hard tack,2,985
487,28,dolphin,3,986
488,29,Arab,4,987
489,30,Bianchetti,5,988
490,31,onion,1,989
491,32,caill¨¦,2,990
492,33,semifreddo,3,991
493,34,aspic,4,992
494,35,chickpea,5,993
495,36,Pesto,1,994
496,37,Pesto,2,995
497,38,Zampone,3,996
498,39,pig's trotter,4,997
499,40,Cotechino,5,998
500,41,swiss chard,1,999
501,42,Tortellini,2,1000
502,43,Bologna,3,1001
503,44,Cappelletti,4,1002
504,45,Lasagne,5,1003
505,46,Cannelloni,1,1004
506,47,Piadina,2,1005
507,48,Passatelli,3,1006
508,49,Appennine,4,1007
509,50,Parmigiano-Reggiano,5,1008
510,51,Aceto Balsamico Tradizionale di Modena,1,1009
511,52,Aceto Balsamico Tradizionale di Reggio Emilia,2,1010
512,53,Mortadella,3,1011
513,54,Culatello,4,1012
514,55,Zibello,5,1013
515,56,Coppa,1,1014
516,57,Garganelli,2,1015
517,58,Ciccioli,3,1016
518,59,Tagliatelle,4,1017
519,60,rosemary,5,1018
520,61,Ribollita,1,1019
521,62,osso buco,2,1020
522,63,Chianina,3,1021
523,64,forcemeat,4,1022
524,65,Good Friday,5,1023
525,66,Maremma,1,1024
526,67,saffron,2,1025
527,68,St. Anthony,3,1026
528,69,cracklings,4,1027
529,70,semolina,5,1028
530,71,Filone,1,1029
531,72,Holy Week,2,1030
532,73,Garfagnana,3,1031
533,74,lentil,4,1032
534,75,spelt,5,1033
535,76,carp,1,1034
536,77,pigeon,2,1035
537,78,intestines,3,1036
538,79,acorns,4,1037
539,80,[2],5,1038
540,81,[3],1,1039
541,82,wild saffron,2,1040
542,83,dumplings,3,1041
543,84,eggs,4,1042
544,85,[4],5,1043
545,86,Ciauscolo,1,1044
546,87,Coppa,2,1045
547,88,nutmeg,3,1046
548,89,Prosciutto,4,1047
549,90,mortadella,5,1048
550,91,Saltimbocca,1,1049
551,92,sage,2,1050
552,1,oxtail,3,1051
553,2,Carciofi alla giudia,4,1052
554,3,Carciofi alla romana,5,1053
555,4,carbonara,1,1054
556,5,spaghetti,2,1055
557,6,amatriciana,3,1056
558,7,bucatini,4,1057
559,8,Pecorino,5,1058
560,9,mutton,1,1059
561,10,Arrosticini,2,1060
562,11,"Spaghetti all' aglio, olio e peperoncino",3,1061
563,12,Mozzarella di Bufala (buffalo mozzarella),4,1062
564,13,Parmigiana,5,1063
565,14,pizza,1,1064
566,15,Spaghetti alle vongole,2,1065
567,16,Neapolitan rag¨´,3,1066
568,17,Pastiera,4,1067
569,18,Sfogliatelle,5,1068
570,19,crema pasticciera,1,1069
571,20,Bab¨¤,2,1070
572,21,crema pasticciera,3,1071
573,22,Struffoli,4,1072
574,23,Mustacciuoli,5,1073
575,24,Orecchiette,1,1074
576,25,rapini,2,1075
577,26,Capitanata,3,1076
578,27,Bari,4,1077
579,28,peperoncino,5,1078
580,29,Burrata,1,1079
581,30,stracciatella,2,1080
582,31,Pane di Altamura,3,1081
583,32,sourdough,4,1082
584,33,Virgin Mary,5,1083
585,34,Taralli,1,1084
586,35,Potenza,2,1085
587,36,pita bread,3,1086
588,37,Serval,4,1087
589,38,Sicilian,5,1088
590,39,couscous,1,1089
591,40,Extra virgin olive oil,2,1090
592,41,Tomato,3,1091
593,42,anchovies,4,1092
594,43,Balsamic Vinegar,5,1093
595,44,asparagus,1,1094
596,45,Baccal¨¤,2,1095
597,46,Bresaola,3,1096
598,47,Broccoli,4,1097
599,48,capers,5,1098
600,49,artichokes,1,1099
601,50,Cauliflower,2,1100
602,51,Chickpeas,3,1101
603,52,Cucumber,4,1102
604,53,Beans,5,1103
605,54,Emmer,1,1104
606,55,Fennel bulb,2,1105
607,56,strawberries,3,1106
608,57,Porcini mushrooms,4,1107
609,58,Lentils,5,1108
610,59,Lemon,1,1109
611,60,eggplants,2,1110
612,61,olives,3,1111
613,62,Pasta,4,1112
614,63,Swordfish,5,1113
615,64,Bell peppers,1,1114
616,65,Pesto,2,1115
617,66,pine nuts,3,1116
618,67,Peas,4,1117
619,68,Prosciutto,5,1118
620,69,Radicchio,1,1119
621,70,Rice,2,1120
622,71,Arugula,3,1121
623,72,Cuttlefish,4,1122
624,73,Spinach,5,1123
625,74,Tartufo,1,1124
626,75,Tripe,2,1125
627,76,Tuna,3,1126
628,77,Zucchini,4,1127
629,78,Garlic,5,1128
630,79,Bay leaves,1,1129
631,80,Basil,2,1130
632,81,Onion,3,1131
633,82,Fennel,4,1132
634,83,Mint,5,1133
635,84,Calamintha nepeta,1,1134
636,85,Oregano,2,1135
637,86,Chili pepper,3,1136
638,87,Parsley,4,1137
639,88,Rosemary,5,1138
640,89,Sage,1,1139
641,90,Thyme,2,1140
642,91,Cuisine,3,1141
643,92,,4,1142
644,1,Food portal,5,1143
645,2,,1,1144
646,3,Italy portal,2,1145
647,4,,3,1146
648,5,Lists portal,4,1147
649,6,v,5,1148
650,7,t,1,1149
651,8,e,2,1150
652,9,African,3,1151
653,10,Argentine,4,1152
654,11,Bangladeshi,5,1153
655,12,Brazilian,1,1154
656,13,Burmese,2,1155
657,14,Colombian,3,1156
658,15,English,4,1157
659,16,Filipino,5,1158
660,17,French,1,1159
661,18,German,2,1160
662,19,Greek,3,1161
663,20,Gyeongsang,4,1162
664,21,Hawaiian,5,1163
665,22,Hungarian,1,1164
666,23,Indian,2,1165
667,24,Indonesian,3,1166
668,25,Irish,4,1167
669,26,Japanese,5,1168
670,27,Jeju,1,1169
671,28,Jeolla,2,1170
672,29,Jewish,3,1171
673,30,Korean,4,1172
674,31,Malaysian,5,1173
675,32,Maltese,1,1174
676,33,Mexican,2,1175
677,34,Moroccan,3,1176
678,35,Palestinian,4,1177
679,36,Peruvian,5,1178
680,37,Polish,1,1179
681,38,Russian,2,1180
682,39,Seoul,3,1181
683,40,Spanish,4,1182
684,41,Thai,5,1183
685,42,Southern United States,1,1184
686,43,Vietnamese,2,1185
687,44,Bacon,3,1186
688,45,Bacon substitutes,4,1187
689,46,Breads,5,1188
690,47,Breakfast beverages,1,1189
691,48,Breakfast cereals,2,1190
692,49,Breakfast foods,3,1191
693,50,Cheeses,4,1192
694,51,Brined cheeses,5,1193
695,52,Cheese soups,1,1194
696,53,Christmas dishes,2,1195
697,54,Coffee dishes,3,1196
698,55,Coconut milk,4,1197
699,56,Dairy products,5,1198
700,57,Dried foods,1,1199
701,58,Dumplings,2,1200
702,59,Egg,3,1201
703,60,Fermented foods,4,1202
704,61,Fermented soy products,5,1203
705,62,Foods made from maple,1,1204
706,63,Fried dough foods,2,1205
707,64,Hamburgers,3,1206
708,65,Hors d'oeuvre,4,1207
709,66,Kebabs,5,1208
710,67,Legume dishes,1,1209
711,68,Lemon dishes and beverages,2,1210
712,69,Maize dishes,3,1211
713,70,Meat substitutes,4,1212
714,71,Military foods,5,1213
715,72,Pasta,1,1214
716,73,Pastries,2,1215
717,74,Pickled foods,3,1216
718,75,"Pies, tarts and flans",4,1217
719,76,Poppy seed pastries and dishes,5,1218
720,77,Pork dishes,1,1219
721,78,Porridges,2,1220
722,79,Potato dishes,3,1221
723,80,Puddings,4,1222
724,81,Rice,5,1223
725,82,Rolled foods,1,1224
726,83,Salads,2,1225
727,84,Sandwiches,3,1226
728,85,Sauces,4,1227
729,86,Smoked foods,5,1228
730,87,Soul food,1,1229
731,88,Soups,2,1230
732,89,Stews,3,1231
733,90,Street foods,4,1232
734,91,Tapas,5,1233
735,92,Twice-baked foods,1,1234
736,1,Cod dishes,2,1235
737,2,Herring dishes,3,1236
738,3,Fish dishes,4,1237
739,4,Fish sauces,5,1238
740,5,Raw fish,1,1239
741,6,Seafood dishes,2,1240
742,7,Snack foods by country,3,1241
743,8,Snack foods,4,1242
744,9,Cakes,5,1243
745,10,Candies,1,1244
746,11,Cookies,2,1245
747,12,Desserts,3,1246
748,13,Doughnuts,4,1247
749,14,"Pies, tarts and flans",5,1248
750,15,American cheeses,1,1249
751,16,British cheeses,2,1250
752,17,French cheeses,3,1251
753,18,Irish cheeses,4,1252
754,19,Italian cheeses,5,1253
755,20,Polish cheeses,1,1254
756,21,American desserts,2,1255
757,22,Argentine sweets and desserts,3,1256
758,23,British desserts,4,1257
759,24,Chinese desserts,5,1258
760,25,French desserts,1,1259
761,26,German desserts,2,1260
762,27,Indian sweets and desserts,3,1261
763,28,Italian desserts,4,1262
764,29,Japanese desserts and sweets,5,1263
765,30,Korean desserts,1,1264
766,31,Korean tteok,2,1265
767,32,Pakistani sweets and desserts,3,1266
768,33,Polish desserts,4,1267
769,34,Romanian desserts,5,1268
770,35,Sri Lankan sweets and desserts,1,1269
771,36,Turkish desserts,2,1270
772,37,Indian snack foods,3,1271
773,38,Pakistani condiments,4,1272
774,39,Vietnamese specialities,5,1273
775,40,Category,1,1274
776,41,Food portal,2,1275
777,42,Commons,3,1276
778,43,WikiProject Food and drink,4,1277
