UserID,CuisineID
564,12
565,13
566,14
567,15
568,16
569,17
570,18
571,19
572,20
573,21
574,22
575,23
576,24
577,25
578,26
579,27
580,28
581,29
582,30
583,31
584,32
585,33
586,34
587,35
588,36
589,37
590,38
591,39
592,40
593,41
594,42
595,43
596,44
597,45
598,46
599,47
600,48
601,49
602,50
603,51
604,52
605,53
606,54
607,55
608,56
609,57
610,58
611,59
612,60
613,61
614,62
615,63
616,64
617,65
618,66
619,67
620,68
621,69
622,70
623,71
624,72
625,73
626,74
627,75
628,76
629,77
630,78
631,79
632,80
633,81
634,82
635,83
636,84
637,85
638,86
639,87
640,88
641,89
642,90
643,91
644,0
645,1
646,2
647,3
648,4
649,5
650,6
651,7
652,8
653,9
654,10
655,11
656,12
657,13
658,14
659,15
660,16
661,17
662,18
663,19
664,20
665,21
666,22
667,23
668,24
669,25
670,26
671,27
672,28
673,29
674,30
675,31
676,32
677,33
678,34
679,35
680,36
681,37
682,38
683,39
684,40
685,41
686,42
687,43
688,44
689,45
690,46
691,47
692,48
693,49
694,50
695,51
696,52
697,53
698,54
699,55
700,56
701,57
702,58
703,59
704,60
705,61
706,62
707,63
708,64
709,65
710,66
711,67
712,68
713,69
714,70
715,71
716,72
717,73
718,74
719,75
720,76
721,77
722,78
723,79
724,80
725,81
726,82
727,83
728,84
729,85
730,86
731,87
732,88
733,89
734,90
735,91
736,0
737,1
738,2
739,3
740,4
741,5
742,6
743,7
744,8
745,9
746,10
747,11
748,12
749,13
750,14
751,15
752,16
753,17
754,18
755,19
756,20
757,21
758,22
759,23
760,24
761,25
762,26
763,27
764,28
765,29
766,30
767,31
768,32
769,33
770,34
771,35
772,36
773,37
774,38
775,39
776,40
777,41
778,42
779,43
780,44
781,45
782,46
783,47
784,48
785,49
786,50
787,51
788,52
789,53
790,54
791,55
792,56
793,57
794,58
795,59
796,60
797,61
798,62
799,63
800,64
801,65
802,66
803,67
804,68
805,69
806,70
807,71
808,72
809,73
810,74
811,75
812,76
813,77
814,78
815,79
816,80
817,81
818,82
819,83
820,84
821,85
822,86
823,87
824,88
825,89
826,90
827,91
828,0
829,1
830,2
831,3
832,4
833,5
834,6
835,7
836,8
837,9
838,10
839,11
840,12
841,13
842,14
843,15
844,16
845,17
846,18
847,19
848,20
849,21
850,22
851,23
852,24
853,25
854,26
855,27
856,28
857,29
858,30
859,31
860,32
861,33
862,34
863,35
864,36
865,37
866,38
867,39
868,40
869,41
870,42
871,43
872,44
873,45
874,46
875,47
876,48
877,49
878,50
879,51
880,52
881,53
882,54
883,55
884,56
885,57
886,58
887,59
888,60
889,61
890,62
891,63
892,64
893,65
894,66
895,67
896,68
897,69
898,70
899,71
900,72
901,73
902,74
903,75
904,76
905,77
906,78
907,79
908,80
909,81
910,82
911,83
912,84
913,85
914,86
915,87
916,88
917,89
918,90
919,91
920,0
921,1
922,2
923,3
924,4
925,5
926,6
927,7
928,8
929,9
930,10
931,11
932,12
933,13
934,14
935,15
936,16
937,17
938,18
939,19
940,20
941,21
942,22
943,23
944,24
945,25
946,26
947,27
948,28
949,29
950,30
951,31
952,32
953,33
954,34
955,35
956,36
957,37
958,38
959,39
960,40
961,41
962,42
963,43
964,44
965,45
966,46
967,47
968,48
969,49
970,50
971,51
972,52
973,53
974,54
975,55
976,56
977,57
978,58
979,59
980,60
981,61
982,62
983,63
984,64
985,65
986,66
987,67
988,68
989,69
990,70
991,71
992,72
993,73
994,74
995,75
996,76
997,77
998,78
999,79
1000,80
