RID,RName,URL,Street,State,City,Phone,Zipcode,OpenHrs,CloseHrs,WiFi,Pricerange
20,Piesano's Stone Fired Pizza,http://www.piesanostogo.com,5757 SW 75th St,FL,Gainesville,(352) 371-8646,32627,8:00,21:00,Y,2
21,SUBWAY,http://www.subway.com,1830 SW 44th Ave,FL,Gainesville,(352) 372-1839,32628,8:00,21:00,Y,5
22,Wendy's,http://www.wendys.com,6700 W Newberry Rd,FL,Gainesville,(352) 331-8878,32629,8:00,21:00,Y,4
23,Domino's Pizza,http://www.dominos.com,3000 NW 83rd St # R,FL,Gainesville,(352) 505-6845,32630,8:00,21:00,Y,3
24,Asian Buffet,,1116 N Main St,FL,Gainesville,(352) 271-8666,32631,8:00,21:00,Y,5
25,Back Yard Burgers,http://www.backyardburgers.com,3400 SW 34th St,FL,Gainesville,(352) 692-4442,32632,8:00,21:00,Y,2
26,SUBWAY,http://www.subway.com,1705 NW 23rd St,FL,Gainesville,(352) 373-8330,32633,8:00,21:00,Y,4
27,Kraft Foods,,4820 NE 49th Rd,FL,Gainesville,(352) 377-7664,32634,8:00,21:00,Y,4
28,McDonalds,http://www.mcdonalds.com,100 SW 75th St Ste 208,FL,Gainesville,(352) 331-9803,32635,8:00,21:00,Y,1
29,SUBWAY,http://www.subway.com,5839 SW 75th St,FL,Gainesville,(352) 377-7178,32636,8:00,21:00,Y,2
30,Gator Corner Dining Ctr,http://www.gatordining.com,114 REC CTR,FL,Gainesville,(352) 846-0189,32637,8:00,21:00,Y,3
31,Suki Hana of the Oaks Mall Inc,http://www.theoaksmall.com,6419 W Newberry Rd,FL,Gainesville,(352) 332-0518,32638,8:00,21:00,Y,3
32,Wendy's,http://www.wendys.com,6419 W Newberry Rd Ste G2,FL,Gainesville,(352) 331-0630,32639,8:00,21:00,Y,2
33,SUBWAY,http://www.subway.com,5200 NW 43rd St Ste 508,FL,Gainesville,(352) 376-8155,32640,8:00,21:00,Y,4
34,Quiznos,http://www.quiznos.com,1816 SW 85th Dr,FL,Gainesville,(352) 331-2558,32641,8:00,21:00,Y,4
35,SUBWAY,http://www.subway.com,3412 W University Ave,FL,Gainesville,(352) 377-0652,32642,8:00,21:00,Y,1
36,La Fortuna Latin Restaurant,,3000 NW 83rd St,FL,Gainesville,(352) 505-0776,32643,8:00,21:00,Y,3
37,C & V Restaurants,,3501 SW 2nd Ave,FL,Gainesville,(352) 375-2337,32644,8:00,21:00,Y,4
38,GATORFOOD.COM,http://www.gatorfood.com,818 W University Ave Ste 209,FL,Gainesville,(352) 379-3663,32645,8:00,21:00,Y,4
39,SUBWAY,http://www.subway.com,2645 SW 91st St Ste 410,FL,Gainesville,(352) 332-1707,32646,8:00,21:00,Y,5
40,Gator Town Daily Deals,http://www.gatortown1.com,5200 NW 43rd St Ste 102,FL,Gainesville,(352) 264-0068,32647,8:00,21:00,Y,1
41,Red Table Bar & Grill,,1250 W University Ave,FL,Gainesville,(352) 338-9288,32648,8:00,21:00,Y,3
42,Grill Depot,http://www.thepantry.com,3509 SW Williston Rd,FL,Gainesville,(352) 372-3348,32649,8:00,21:00,Y,4
43,Burger King,http://www.bk.com,9401 NW 39th Ave,FL,Gainesville,(352) 336-7383,32650,8:00,21:00,Y,5
44,Gainesville Ale House,,3950 SW Archer Rd,FL,Gainesville,(352) 371-0818,32651,8:00,21:00,Y,1
45,Eastside Pizza,,1018 NE 3rd Ave,FL,Gainesville,(352) 373-2433,32652,8:00,21:00,Y,5
46,Sushi Yami,,3830 SW 13th St,FL,Gainesville,(352) 377-4773,32653,8:00,21:00,Y,4
47,O O Tapas & Tinis,http://www.ootinis.com,2725 SW 91st St Ste 100,FL,Gainesville,(352) 331-6672,32654,8:00,21:00,Y,2
48,SUBWAY,http://www.subway.com,1525 NW 23rd Ave,FL,Gainesville,(352) 373-8330,32655,8:00,21:00,Y,2
49,Cedar Rivers Seafood,,5141 NW 43rd St Ste 101,FL,Gainesville,(352) 371-4048,32656,8:00,21:00,Y,5
50,Ti Amo,,12 SE 2nd Ave,FL,Gainesville,(352) 378-6307,32657,8:00,21:00,Y,3
51,McDonalds,http://www.mcdonalds.com,1800 NE 12th Ave,FL,Gainesville,(352) 271-4302,32658,8:00,21:00,Y,5
52,Wendy's,http://www.wendys.com,3611 SW Archer Rd,FL,Gainesville,(352) 378-3089,32659,8:00,21:00,Y,2
53,Planet Smoothie,http://www.planetsmoothie.com,1620 W University Ave Ste 1,FL,Gainesville,(352) 377-9400,32660,8:00,21:00,Y,2
54,Pizza Hut,http://www.pizzahut.com,1204 N Main St,FL,Gainesville,(352) 372-5295,32661,8:00,21:00,Y,2
55,How DO You Roll,,6904 SW 35th Way,FL,Gainesville,(352) 373-1100,32662,8:00,21:00,Y,5
56,Baja Tortilla Grill,,REITZ UN,FL,Gainesville,(352) 392-1689,32663,8:00,21:00,Y,1
57,Roly Poly Sandwiches,,2404 SW 34th St # 4,FL,Gainesville,(352) 264-1230,32664,8:00,21:00,Y,4
58,Tasty Buddha West,,2410 NW 43rd St,FL,Gainesville,(352) 872-5755,32665,8:00,21:00,Y,2
59,Pizza Hut,http://www.pizzahut.com,7331 NW 4th Blvd,FL,Gainesville,(352) 332-0032,32666,8:00,21:00,Y,1
60,Hungry Howie's Pizza,http://www.hungryhowies.com,1310 NW 23rd Ave,FL,Gainesville,(352) 374-6600,32667,8:00,21:00,Y,1
61,Aunt M,http://www.thepantry.com,1515 N Main St,FL,Gainesville,(352) 375-8340,32668,8:00,21:00,Y,2
62,Kocian Rank Quality Restaurant,,3303 SW 92nd St,FL,Gainesville,(352) 332-5064,32669,8:00,21:00,Y,5
63,13th Street Palace,,4400 NW 39th Ave Apt 441,FL,Gainesville,(352) 519-5226,32670,8:00,21:00,Y,4
64,YLE of the Oaks Mall Inc,http://www.theoaksmall.com,6419 W Newberry Rd,FL,Gainesville,(352) 332-8268,32671,8:00,21:00,Y,4
65,Chix,,521 NE 23rd Ave,FL,Gainesville,(352) 872-5244,32672,8:00,21:00,Y,2
66,Calico Jack's Oyster Bar,,3501 SW 2nd Ave,FL,Gainesville,(352) 371-1675,32673,8:00,21:00,Y,2
67,Lolli Cup,,3550 SW 34th St Ste G,FL,Gainesville,(352) 505-3662,32674,8:00,21:00,Y,5
68,Alcove,,110 S Main St,FL,Gainesville,(352) 335-6335,32675,8:00,21:00,Y,5
69,Deb-Lyn Inc,,6916 W University Ave,FL,Gainesville,(352) 332-5556,32676,8:00,21:00,Y,4
70,SUBWAY,http://www.subway.com,3424 SW Williston Rd,FL,Gainesville,(352) 374-7723,32677,8:00,21:00,Y,1
71,Chez Fassah Inc,,235 S Main St Ste 107,FL,Gainesville,(352) 333-1100,32678,8:00,21:00,Y,2
72,Smoothie Boost,http://www.smoothieboost.com,4994 NW 39th Ave,FL,Gainesville,(352) 375-8699,32679,8:00,21:00,Y,1
73,McDonalds,http://www.mcdonalds.com,3418 SW Williston Rd,FL,Gainesville,(352) 373-8784,32680,8:00,21:00,Y,3
74,SUBWAY,http://www.subway.com,2000 SW Archer Rd,FL,Gainesville,(352) 380-0332,32681,8:00,21:00,Y,3
75,Honeybaked Ham,http://www.honeybakedham.com,3832 W Newberry Rd Ste 1C,FL,Gainesville,(352) 375-8050,32682,8:00,21:00,Y,5
76,Sushi-2-Go,http://www.sushi-2-go.com,808 W University Ave,FL,Gainesville,(352) 338-1068,32683,8:00,21:00,Y,2
77,Great Wraps,http://www.greatwraps.com,6419 W Newberry Rd Ste G3,FL,Gainesville,(352) 872-5600,32684,8:00,21:00,Y,3
78,Great Steak & Potato Co,http://www.thegreatsteak.com,6419 W Newberry Rd Ste G6,FL,Gainesville,(352) 332-3006,32685,8:00,21:00,Y,4
79,Pizza Hut,http://www.pizzahut.com,3515 SW Archer Rd,FL,Gainesville,(352) 374-4440,32686,8:00,21:00,Y,4
80,SUBWAY,http://www.subway.com,9303 NW 39th Ave,FL,Gainesville,(352) 371-3703,32687,8:00,21:00,Y,4
81,Quiznos,http://www.quiznos.com,110 STADIUM RD,FL,Gainesville,(352) 392-9411,32688,8:00,21:00,Y,1
82,J Doobies,,2124 SW 34th St,FL,Gainesville,(352) 672-6111,32689,8:00,21:00,Y,5
83,Jeff's New York Deli,,2226 NW 6th St,FL,Gainesville,(352) 378-4428,32690,8:00,21:00,Y,2
84,Checkers Drive-In Restaurant,http://www.checkers.com,3325 W University Ave,FL,Gainesville,(352) 373-8520,32691,8:00,21:00,Y,5
85,Orange & Brew,,UNIVERSITY OF FLORIDA,FL,Gainesville,(352) 392-1689,32692,8:00,21:00,Y,3
86,Wendy's,http://www.wendys.com,9225 NW 39th Ave,FL,Gainesville,(352) 336-5930,32693,8:00,21:00,Y,3
87,Domino's Pizza,http://www.dominos.com,3311 W University Ave,FL,Gainesville,(352) 377-4992,32694,8:00,21:00,Y,1
88,SUBWAY,http://www.subway.com,3704 NW 97th Blvd,FL,Gainesville,(352) 379-5977,32695,8:00,21:00,Y,4
89,Pizza Man Express,,2104 SW 34th St,FL,Gainesville,(352) 374-2111,32696,8:00,21:00,Y,1
90,Sunshine Foods,,931 W University Ave,FL,Gainesville,(352) 375-5482,32697,8:00,21:00,Y,3
91,D & D Sushi Inc,,4420 NW 20th Pl,FL,Gainesville,(352) 338-1358,32698,8:00,21:00,Y,5
92,Tasty Buddha Restaurants,http://www.tastybuddha.com,901 NW 8th Ave,FL,Gainesville,(352) 376-9006,32699,8:00,21:00,Y,1
93,Grill Depot,http://www.thepantry.com,4030 SW 13th St,FL,Gainesville,(352) 338-1616,32700,8:00,21:00,Y,3
94,Flashbacks Cafe,,211 W University Ave,FL,Gainesville,(352) 336-3730,32701,8:00,21:00,Y,4
95,McDonalds,http://www.mcdonalds.com,9260 NW 39th Ave,FL,Gainesville,(352) 337-9800,32702,8:00,21:00,Y,2
96,Chili's Grill & Bar,http://www.chilis.com,114 Fletcher Dr,FL,Gainesville,(352) 392-9012,32703,8:00,21:00,Y,5
97,SUBWAY,http://www.subway.com,3000 NW 83rd St,FL,Gainesville,(352) 377-7100,32704,8:00,21:00,Y,5
98,Grill Depot,,2152 NW 39th Ave,FL,Gainesville,(352) 371-4884,32705,8:00,21:00,Y,2
99,McDonalds,http://www.mcdonalds.com,6003 W Newberry Rd,FL,Gainesville,(352) 331-0864,32706,8:00,21:00,Y,1
100,Gator Dawgs,http://www.gatordawgs.com,5329 SW 80th St,FL,Gainesville,(352) 378-4353,32707,8:00,21:00,Y,5
101,KFC,http://www.kfc.com,1231 E University Ave,FL,Gainesville,(352) 372-2984,32708,8:00,21:00,Y,5
102,SUBWAY,http://www.subway.com,2308 SE Hawthorne Rd Ste D,FL,Gainesville,(352) 336-1300,32709,8:00,21:00,Y,2
103,McDonalds,http://www.mcdonalds.com,1030 E University Ave,FL,Gainesville,(352) 376-0830,32710,8:00,21:00,Y,2
104,Grill Depot,,4234 SW 20th Ave,FL,Gainesville,(352) 375-6514,32711,8:00,21:00,Y,2
105,Phohanoi,,3550 SW 34th St Ste D,FL,Gainesville,(352) 373-2098,32712,8:00,21:00,Y,2
106,Grill Depot,,3424 SW Williston Rd,FL,Gainesville,(352) 377-3997,32713,8:00,21:00,Y,4
107,Jimmy John's,http://www.jimmyjohns.com,1724 W University Ave,FL,Gainesville,(352) 375-7222,32714,8:00,21:00,Y,2
108,Beef'o'brady's,http://www.beefobradys.com,1999 NW 43rd St,FL,Gainesville,(352) 338-7771,32715,8:00,21:00,Y,5
109,Wingstop,http://www.wingstop.com,4310 SW 20th Ave,FL,Gainesville,(352) 692-2345,32716,8:00,21:00,Y,3
110,Tapas 12 West,,12 W University Ave Ste 206,FL,Gainesville,(352) 377-9468,32717,8:00,21:00,Y,3
111,Fuji Hana,,3720 NW 13th St,FL,Gainesville,(352) 337-0038,32718,8:00,21:00,Y,5
112,Theo Deli Inc,,4001 W Newberry Rd Ste B3,FL,Gainesville,(352) 375-2690,32719,8:00,21:00,Y,2
113,Warehouse,,502 S Main St,FL,Gainesville,(352) 240-6288,32720,8:00,21:00,Y,2
114,Taco Bell,http://www.tacobell.com,120 SW 13th St,FL,Gainesville,(352) 264-1839,32721,8:00,21:00,Y,5
115,Grill Depot,,1255 W University Ave,FL,Gainesville,(352) 377-1390,32722,8:00,21:00,Y,3
116,Gator Deli,,1124 W University Ave,FL,Gainesville,(352) 505-0224,32723,8:00,21:00,Y,2
117,Chunks Chicken Inc,http://www.chunkywings.com,1445 SE Hawthorne Rd,FL,Gainesville,(352) 338-3663,32724,8:00,21:00,Y,4
118,Frresh Cafe LLC,,16 NE 8th St,FL,Gainesville,(352) 226-8226,32725,8:00,21:00,Y,3
119,Beef'o'brady's,http://www.beefobradys.com,6500 SW Archer Rd Ste E,FL,Gainesville,(352) 271-8085,32726,8:00,21:00,Y,3
120,Boca Fiesta,http://www.bocafiesta.com,232 SE 1st St,FL,Gainesville,(352) 336-8226,32727,8:00,21:00,Y,1
121,Hovan Mediterranean,,1600 SW Archer Rd,FL,Gainesville,(352) 379-5580,32728,8:00,21:00,Y,1
122,Mc Alister's Deli,http://www.mcalistersdeli.com,618 NW 60th St Ste C,FL,Gainesville,(352) 331-8900,32729,8:00,21:00,Y,5
123,Wehbe Jammin Inc,,2106 SW 13th St,FL,Gainesville,(352) 337-0418,32730,8:00,21:00,Y,4
124,Momo Yaki,,3100 SW 34th St,FL,Gainesville,(352) 384-3731,32731,8:00,21:00,Y,1
125,Gyro Plus,http://www.gyroplusgainesville.com,1011 W University Ave,FL,Gainesville,(352) 336-5323,32732,8:00,21:00,Y,2
126,Don & Dan Sports Pub Inc,,1999 NW 43rd St,FL,Gainesville,(352) 379-7800,32733,8:00,21:00,Y,5
127,Hogan's,http://www.hogans83.com,5156 NW 34th St,FL,Gainesville,(352) 371-5851,32734,8:00,21:00,Y,5
128,Blazin Burgers,,2224 E University Ave,FL,Gainesville,(352) 372-0707,32735,8:00,21:00,Y,2
129,Burger King,http://www.bk.com,114 RECREATIONAL DINING CTR,FL,Gainesville,(352) 392-8802,32736,8:00,21:00,Y,4
130,McDonalds,http://www.mcdonalds.com,5110 NW 43rd St,FL,Gainesville,(352) 376-1965,32737,8:00,21:00,Y,4
131,TGI Friday's,http://www.tgifridays.com,3598 SW Archer Rd,FL,Gainesville,(352) 336-1231,32738,8:00,21:00,Y,4
132,Zax Inc,,3710 SW Archer Rd,FL,Gainesville,(352) 338-0050,32739,8:00,21:00,Y,2
133,Dunkin' Donuts,http://www.dunkindonuts.com,1730 W University Ave,FL,Gainesville,(352) 872-5551,32740,8:00,21:00,Y,5
134,McDonalds,http://www.mcdonalds.com,3826 SW 40th Blvd,FL,Gainesville,(352) 373-3826,32741,8:00,21:00,Y,4
135,Shooting Starr Japanese Grill,http://www.shootingstarrestaurant.com,203 SW 2nd Ave,FL,Gainesville,(352) 372-1688,32742,8:00,21:00,Y,4
136,Stevi B's,,3720 NW 13th St Ste 7,FL,Gainesville,(352) 519-5121,32743,8:00,21:00,Y,5
137,McDonalds,http://www.mcdonalds.com,201 NW 13th St,FL,Gainesville,(352) 376-3040,32744,8:00,21:00,Y,5
138,Alessandro Ristorante,,4212 NW 16th Blvd,FL,Gainesville,(352) 367-4510,32745,8:00,21:00,Y,3
139,SUBWAY,http://www.subway.com,3008 NW 13th St Ste F,FL,Gainesville,(352) 371-0311,32746,8:00,21:00,Y,2
140,Diner Downtown,,101 SE 2nd Pl Ste 115,FL,Gainesville,(352) 378-2777,32747,8:00,21:00,Y,3
141,Munchies 420 Cafe,,1702 W University Ave Ste A2,FL,Gainesville,(352) 372-3200,32748,8:00,21:00,Y,3
142,Urban Flats,http://www.urbanflats.net,115 SE 1st Ave,FL,Gainesville,(352) 872-5556,32749,8:00,21:00,Y,2
143,SUBWAY,http://www.subway.com,1005 W University Ave,FL,Gainesville,(352) 376-1161,32750,8:00,21:00,Y,3
144,Agave Blue,,203 SW 2nd Ave,FL,Gainesville,(352) 373-7200,32751,8:00,21:00,Y,4
145,Tijuana Flats,,3414 SW Archer Rd,FL,Gainesville,(352) 373-8967,32752,8:00,21:00,Y,2
146,KFC,http://www.kfc.com,3750 NW 13th St,FL,Gainesville,(352) 373-6333,32753,8:00,21:00,Y,3
147,McDonalds,http://www.mcdonalds.com,2880 NW 13th St,FL,Gainesville,(352) 377-7170,32754,8:00,21:00,Y,5
148,Taco Bell,http://www.tacobell.com,2224 NW 13th St,FL,Gainesville,(352) 367-8452,32755,8:00,21:00,Y,5
149,Falafel Plus,,1011 W University Ave,FL,Gainesville,(352) 372-4995,32756,8:00,21:00,Y,3
150,SUBWAY,http://www.subway.com,1600 SW Archer Rd,FL,Gainesville,(352) 379-0802,32757,8:00,21:00,Y,1
151,Jason's Deli,http://www.jasonsdeli.com,6791 W Newberry Rd,FL,Gainesville,(352) 333-6923,32758,8:00,21:00,Y,3
152,Dairy Queen,http://www.dairyqueen.com,9700 NW 39th Ave,FL,Gainesville,(352) 333-0830,32759,8:00,21:00,Y,5
153,Burger King,http://www.bk.com,3905 SW Archer Rd,FL,Gainesville,(352) 372-0031,32760,8:00,21:00,Y,1
154,SUBWAY,http://www.subway.com,1805 SW 13th St,FL,Gainesville,(352) 374-8345,32761,8:00,21:00,Y,5
155,Pizza Hut,http://www.pizzahut.com,5004 NW 34th St,FL,Gainesville,(352) 373-7733,32762,8:00,21:00,Y,1
156,Blue Water Bay,,12 SE 2nd Ave,FL,Gainesville,(352) 872-5915,32763,8:00,21:00,Y,1
157,Fat Tuscan Cafe,http://www.fattuscan.com,725 NE 1st St,FL,Gainesville,(352) 505-5648,32764,8:00,21:00,Y,4
158,KFC,http://www.kfc.com,3525 SW Archer Rd,FL,Gainesville,(352) 375-7899,32765,8:00,21:00,Y,1
159,Pazza Bistro,http://www.pazzabistro.com,3841 SW Archer Rd Unit B,FL,Gainesville,(352) 505-6977,32766,8:00,21:00,Y,3
160,Roly Poly Sandwiches,,4123 NW 16th Blvd,FL,Gainesville,(352) 372-1100,32767,8:00,21:00,Y,4
161,SUBWAY,http://www.subway.com,5210 NW 13th St,FL,Gainesville,(352) 338-3007,32768,8:00,21:00,Y,4
162,Tienda Mexicana Los Hermandez,,4120 NW 6th St,FL,Gainesville,(352) 336-5077,32769,8:00,21:00,Y,4
163,David's Real Pit BBQ,http://www.davidsbbq.com,5121 NW 39th Ave # A,FL,Gainesville,(352) 372-8492,32770,8:00,21:00,Y,2
164,Sushichow,,1620 W University Ave,FL,Gainesville,(352) 373-2277,32771,8:00,21:00,Y,2
165,Checkers Drive-In Restaurant,http://www.checkers.com,3520 SW Archer Rd,FL,Gainesville,(352) 378-5757,32772,8:00,21:00,Y,4
166,Burger King,http://www.bk.com,6123 W Newberry Rd,FL,Gainesville,(352) 331-0494,32773,8:00,21:00,Y,3
167,Planet Smoothie,,3310 SW 35th Blvd,FL,Gainesville,(352) 377-4474,32774,8:00,21:00,Y,5
168,Designer Greens,http://www.designergreens.net,1702 W University Ave Ste E,FL,Gainesville,(352) 672-6800,32775,8:00,21:00,Y,2
169,Dunkin' Donuts,http://www.dunkindonuts.com,7011 W Newberry Rd,FL,Gainesville,(352) 332-1795,32776,8:00,21:00,Y,5
170,Caribbean Spice Inc,,1121 W University Ave,FL,Gainesville,(352) 377-2712,32777,8:00,21:00,Y,5
171,New Deal Cafe,http://www.newdealcafegainesville.com,3445 W University Ave,FL,Gainesville,(352) 371-4418,32778,8:00,21:00,Y,2
172,Limerock Rode Inc,http://www.limerockroad.com,9158 SW 51st Rd,FL,Gainesville,(352) 240-6228,32779,8:00,21:00,Y,1
173,Applebee's Neighborhood Grill,http://www.applebees.com,1005 NW 13th St,FL,Gainesville,(352) 335-0150,32780,8:00,21:00,Y,1
174,Plaza Coffee Shop,,207 NE 16th Ave,FL,Gainesville,(352) 378-0600,32781,8:00,21:00,Y,5
175,Taste of Saigon,,4860 NW 39th Ave Ste C,FL,Gainesville,(352) 372-8686,32782,8:00,21:00,Y,1
176,101 Downtown,,201 SE 2nd Ave,FL,Gainesville,(352) 376-4177,32783,8:00,21:00,Y,2
177,Dragonfly Rolls N Bowls,,3117 SW 34th St,FL,Gainesville,(352) 271-1011,32784,8:00,21:00,Y,3
178,Pizza Hut,http://www.pizzahut.com,2109 NW 13th St,FL,Gainesville,(352) 372-5295,32785,8:00,21:00,Y,4
179,Smokehouse Gourmet Barbecue,http://www.smokehousedowntown.com,104 S Main St,FL,Gainesville,(352) 505-0352,32786,8:00,21:00,Y,4
180,China Star Chinese Takeout,,3307 W University Ave,FL,Gainesville,(352) 338-8282,32787,8:00,21:00,Y,5
181,Virtually Cuban,http://www.virtuallycuban.com,2409 SW 13th St,FL,Gainesville,(352) 336-4125,32788,8:00,21:00,Y,4
182,Maui Teriyaki,http://www.mauiteriyaki.com,600 NW 75th St Ste E,FL,Gainesville,(352) 331-3393,32789,8:00,21:00,Y,4
183,Harvest Thyme Cafe,http://www.harvestthymecafe.com,2 W University Ave,FL,Gainesville,(352) 384-9497,32790,8:00,21:00,Y,3
184,Wendy's,http://www.wendys.com,1600 SW Archer Rd,FL,Gainesville,(352) 379-9333,32791,8:00,21:00,Y,4
185,Gator's Dockside,http://www.gatorsdockside.com,3842 W Newberry Rd Ste 1A,FL,Gainesville,(352) 338-4445,32792,8:00,21:00,Y,5
186,Dunkin' Donuts,http://www.dunkindonuts.com,3710 NW 13th St,FL,Gainesville,(352) 378-8559,32793,8:00,21:00,Y,4
187,Bono's Pit Bar-B-Q,http://www.bonosbarbq.com,6760 W Newberry Rd,FL,Gainesville,(352) 331-3112,32794,8:00,21:00,Y,3
188,China I,,3720 NW 13th St Ste 14,FL,Gainesville,(352) 374-8886,32795,8:00,21:00,Y,5
189,Wok N Roll,,2106 SW 34th St,FL,Gainesville,(352) 378-9900,32796,8:00,21:00,Y,4
190,Taco Bell,http://www.tacobell.com,826 W University Ave,FL,Gainesville,(352) 373-2949,32797,8:00,21:00,Y,5
191,Wing Zone,http://www.wingzone.com,923 W University Ave,FL,Gainesville,(352) 377-2473,32798,8:00,21:00,Y,4
192,Little Caesars Pizza,http://www.littlecaesars.com,5162 SW 34th St,FL,Gainesville,(352) 336-6533,32799,8:00,21:00,Y,4
193,Top,http://www.topgear.com,30 N Main St,FL,Gainesville,(352) 337-1188,32800,8:00,21:00,Y,3
194,Cacciatore Pizza,,9130 SW 51st Rd,FL,Gainesville,(352) 692-0905,32801,8:00,21:00,Y,1
195,Burrito Brothers Taco Co,http://www.burritobros.com,1402 W University Ave # C,FL,Gainesville,(352) 378-5948,32802,8:00,21:00,Y,2
196,Haile Village Bistro,http://www.hailevillagebistro.com,5323 SW 91st Ter,FL,Gainesville,(352) 378-0721,32803,8:00,21:00,Y,2
197,Swamp Restaurant,http://www.swamprestaurant.com,1642 W University Ave,FL,Gainesville,(352) 377-9267,32804,8:00,21:00,Y,5
198,Blue Gill Quality Food,http://www.bluegillqualityfoods.com,1310 SW 13th St,FL,Gainesville,(352) 872-5181,32805,8:00,21:00,Y,4
199,Tropical Smoothie Cafe,http://www.tropicalsmoothie.com,3345 SW 34th St Ste 5,FL,Gainesville,(352) 379-9988,32806,8:00,21:00,Y,5
200,Long John Silver's,http://www.ljsilvers.com,710 NW 60th St,FL,Gainesville,(352) 331-3474,32807,8:00,21:00,Y,4
201,Boston Market,http://www.bostonmarket.com,6483 W Newberry Rd,FL,Gainesville,(352) 331-1519,32808,8:00,21:00,Y,3
202,Zaxby's,http://www.zaxbys.com,1 NW 10th Ave,FL,Gainesville,(352) 377-8889,32809,8:00,21:00,Y,4
203,Sonny's Real Pit Bar-B-Q,http://www.sonnysbbq.com,3635 SW Archer Rd,FL,Gainesville,(352) 375-6667,32810,8:00,21:00,Y,1
204,Ichiban Sushi,http://www.ichibanflorida.com,4401 NW 25th Pl Ste J,FL,Gainesville,(352) 375-8880,32811,8:00,21:00,Y,5
205,El Indio,http://www.el-indio.com,5011 NW 34th St,FL,Gainesville,(352) 336-4441,32812,8:00,21:00,Y,5
206,Miya Sushi,,3222 SW 35th Blvd,FL,Gainesville,(352) 335-3030,32813,8:00,21:00,Y,2
207,El Indio,http://www.el-indio.com,407 NW 13th St,FL,Gainesville,(352) 377-5828,32814,8:00,21:00,Y,3
208,Checkers Drive-In Restaurant,http://www.checkers.com,2826 NW 13th St,FL,Gainesville,(352) 378-5092,32815,8:00,21:00,Y,3
209,Bento Cafe,http://www.bentocafesushi.com,3832 W Newberry Rd Ste 1J,FL,Gainesville,(352) 377-8686,32816,8:00,21:00,Y,3
210,Bagels Unlimited,,2124 SW 34th St,FL,Gainesville,(352) 372-7006,32817,8:00,21:00,Y,4
211,Steak 'n Shake,http://www.steaknshake.com,3714 SW 42nd St,FL,Gainesville,(352) 377-7500,32818,8:00,21:00,Y,5
212,Clock Restaurant Inc,,2010 N Main St,FL,Gainesville,(352) 375-1411,32819,8:00,21:00,Y,3
213,Ichiban Sushi,http://www.ichiban-sushi.com,15 SE 1st Ave,FL,Gainesville,(352) 376-8220,32820,8:00,21:00,Y,5
214,Cici's Pizza,http://www.cicispizza.com,3246 SW 35th Blvd,FL,Gainesville,(352) 692-1260,32821,8:00,21:00,Y,2
