UserID,RestaurantID
311,5508
312,2697
313,1670
314,2112
315,4825
316,5051
317,396
318,5964
319,5416
320,2982
321,1717
322,5741
323,1027
324,5789
325,4186
326,3068
327,639
328,4812
329,1798
330,2083
331,63
332,3485
333,6094
334,2308
335,2878
336,1321
337,1354
338,2272
339,1206
340,4044
341,5123
342,2741
343,3369
344,4230
345,4120
346,4421
347,2397
348,367
349,631
350,4503
351,2456
352,5709
353,2257
354,2422
355,1481
356,776
357,2999
358,5549
359,1951
360,5802
361,4418
362,1391
363,3781
364,1800
365,922
366,5670
367,5219
368,830
369,3940
370,3706
371,2038
372,4572
373,464
374,1742
375,3571
376,6052
377,2063
378,3499
379,5089
380,2160
381,2851
382,3073
383,29
384,4115
385,2666
386,2593
387,4483
388,206
389,4061
390,2778
391,1047
392,5147
393,1435
394,1112
395,633
396,2182
397,3449
398,3114
399,5463
400,1300
401,1049
402,2439
403,1234
404,1083
405,4902
406,979
407,3803
408,3749
409,3062
410,4379
411,6192
412,192
413,187
414,5035
415,4117
416,3087
417,1722
418,3902
419,3096
420,5258
421,149
422,728
423,5293
424,3422
425,4843
426,3275
427,1948
428,1396
429,3110
430,3799
431,51
432,3583
433,2230
434,4910
435,711
436,4570
437,830
438,2303
439,76
440,1849
441,5382
442,5498
443,3079
444,2643
445,2130
446,4543
447,1478
448,3905
449,2454
450,3573
451,4175
452,1423
453,5840
454,4431
455,5591
456,6117
457,607
458,1235
459,6210
460,3636
461,704
462,2735
463,4518
464,4461
465,315
466,4515
467,414
468,3042
469,1148
470,546
471,2306
472,3220
473,5407
474,5274
475,3519
476,948
477,1392
478,4093
479,5657
480,2021
481,383
482,6112
483,5913
484,1345
485,3134
486,4228
487,437
488,568
489,3912
490,3690
491,2459
492,858
493,1342
494,5208
495,2798
496,5826
497,5749
498,4640
499,1807
500,890
501,1725
502,2798
503,6076
504,3787
505,3294
506,5366
507,5078
508,4612
509,4492
510,842
511,5822
512,3309
513,3135
514,5443
515,781
516,2849
517,3930
518,3867
519,4803
520,322
521,2833
522,2353
523,2188
524,3712
525,3307
526,5729
527,5027
528,902
529,3348
530,1430
531,1746
532,911
533,3556
534,524
535,4278
536,4177
537,3903
538,2362
539,956
540,5794
541,2222
542,5658
543,2020
544,5671
545,915
546,1977
547,1545
548,2657
549,2587
550,4958
551,1677
552,5514
553,4857
554,5235
555,4788
556,3256
557,4958
558,2860
559,3962
560,4786
561,805
562,2313
563,4367
564,347
565,2399
566,5337
567,2799
568,484
569,2728
570,2771
571,5491
572,417
573,829
574,4392
575,4252
576,1438
577,2095
578,3686
579,3298
580,5019
581,2930
582,5488
583,3459
584,5664
585,5066
586,4509
587,4272
588,1065
589,3131
590,2403
591,5908
592,4933
593,5944
594,741
595,2836
596,834
597,2914
598,2752
599,574
600,5269
601,6145
602,2709
603,2496
604,4455
605,3224
606,1882
607,4625
608,4200
609,2891
610,4371
611,1972
612,3032
613,4893
614,178
615,3087
616,1200
617,2570
618,2819
619,1101
620,5162
621,257
622,3938
623,5143
624,2899
625,628
626,2311
627,4063
628,5786
629,2529
630,2672
631,217
632,2041
633,5692
634,3440
635,522
636,4033
637,1108
638,4224
639,6042
640,3590
641,5695
642,3309
643,1781
644,3070
645,1881
646,591
647,2085
648,2945
649,3078
650,816
651,4729
652,2415
653,1021
654,4634
655,1069
656,4547
657,4506
658,534
659,1104
660,2801
661,706
662,1312
663,5888
664,887
665,3269
666,5819
667,782
668,1201
669,3315
670,3500
671,2309
672,2895
673,3174
674,4059
675,2394
676,1196
677,1520
678,2704
679,2703
680,3299
681,5363
682,1355
683,5200
684,86
685,1889
686,4399
687,5704
688,3427
689,1161
690,3885
691,106
692,3652
693,5222
694,5387
695,1573
696,3374
697,4464
698,4538
699,548
700,4617
701,777
702,5834
703,3935
704,4733
705,640
706,1700
707,10
708,3317
709,3720
710,4276
711,1964
712,4326
713,3520
714,3499
715,4188
716,1012
717,6100
718,5100
719,5091
720,1994
721,1136
722,1116
723,1901
724,4963
725,4771
726,1009
727,3676
728,3311
729,4555
730,249
731,1564
732,932
733,3164
734,323
735,1532
736,5647
737,609
738,6189
739,1047
740,1643
741,3304
742,2444
743,5487
744,3563
745,6033
746,5900
747,919
748,3228
749,4120
750,297
751,2340
752,6055
753,6197
754,3043
755,1773
756,5008
757,4792
758,3767
759,5226
760,1539
761,4775
762,1766
763,2092
764,5214
765,5569
766,2483
767,983
768,2522
769,4197
770,4377
771,905
772,1187
773,2803
774,2688
775,5760
776,5289
777,4485
778,5929
779,3041
780,3207
781,5468
782,617
783,940
784,4165
785,5330
786,6032
787,4351
788,3415
789,594
790,2593
791,1875
792,835
793,2475
794,1043
795,2736
796,5177
797,1595
798,3684
799,30
800,2
801,3523
802,2669
803,1199
804,4959
805,5064
806,3701
807,1950
808,4586
809,5458
810,5083
811,1379
812,3506
813,454
814,5213
815,1491
816,1318
817,5996
818,3897
819,1901
820,2907
821,4371
822,439
823,2077
824,544
825,1893
826,1553
827,4775
828,4362
829,5929
830,2995
831,1273
832,2146
833,2595
834,2171
835,141
836,2653
837,3381
838,3736
839,5354
840,2694
841,2932
842,2118
843,6064
844,3849
845,4571
846,1761
847,5109
848,3127
849,3040
850,3224
851,4798
852,2399
853,3003
854,5034
855,4557
856,1581
857,372
858,4968
859,3235
860,5872
861,5985
862,3226
863,1850
864,2331
865,1176
866,4735
867,1664
868,5203
869,2009
870,3606
871,5340
872,2803
873,4675
874,4255
875,4742
876,3849
877,2469
878,3825
879,5090
880,4187
881,3685
882,3530
883,5122
884,232
885,5141
886,5903
887,2753
888,4342
889,3809
890,2761
891,3381
892,4956
893,5954
894,1335
895,5797
896,1921
897,5807
898,3005
899,3603
900,2733
901,5906
902,4281
903,367
904,5046
905,4294
906,1594
907,3702
908,1175
909,4346
910,2959
911,1204
912,369
913,5358
914,4835
915,90
916,5611
917,2054
918,2269
919,1681
920,1740
921,4846
922,5819
923,3592
924,600
925,2749
926,885
927,333
928,5593
929,3166
930,574
931,2529
932,353
933,1063
934,928
935,2742
936,717
937,5795
938,1362
939,5890
940,2545
941,2454
942,5261
943,746
944,3872
945,668
946,5089
947,3903
948,3390
949,4353
950,3935
951,4728
952,1257
953,6171
954,3314
955,712
956,3394
957,573
958,5629
959,1384
960,69
961,4765
962,2779
963,5412
964,3523
965,2377
966,5891
967,2250
968,1209
969,2297
970,1074
971,1676
972,1303
973,5906
974,1621
975,4497
976,4539
977,311
978,4047
979,1318
980,824
981,6011
982,6173
983,653
984,1774
985,149
986,5222
987,2528
988,1842
989,418
990,4164
991,2538
992,526
993,5904
994,725
995,4297
996,3080
997,2307
998,196
999,2049
1000,4720
1001,1151
1002,5028
1003,607
