reviewid,UserID,RID,Content,ReveiwDate,Upvote,downvote
127,127,34,"As fancy and elegant as everything was, he made us feel comfortable.",4-Dec-07,127,57
128,128,233,"As fancy and elegant as everything was, he made us feel comfortable.",23-Feb-11,128,58
129,129,232,"As fancy and elegant as everything was, he made us feel comfortable.",25-Feb-09,129,59
130,130,253,"As fancy and elegant as everything was, he made us feel comfortable.",19-Nov-11,130,60
131,131,320,"As fancy and elegant as everything was, he made us feel comfortable.",29-Nov-11,131,61
132,132,226,"As fancy and elegant as everything was, he made us feel comfortable.",5-Dec-10,132,62
133,133,361,"As fancy and elegant as everything was, he made us feel comfortable.",17-Nov-08,133,63
134,134,179,"As fancy and elegant as everything was, he made us feel comfortable.",7-Feb-08,134,64
135,135,25,"As fancy and elegant as everything was, he made us feel comfortable.",17-May-10,135,65
136,136,98,"As fancy and elegant as everything was, he made us feel comfortable.",7-Jul-07,136,66
137,137,76,"As fancy and elegant as everything was, he made us feel comfortable.",6-Aug-10,137,67
138,138,242,"As fancy and elegant as everything was, he made us feel comfortable.",17-May-08,138,68
139,139,2,"As fancy and elegant as everything was, he made us feel comfortable.",22-Jun-09,139,69
140,140,68,"As fancy and elegant as everything was, he made us feel comfortable.",21-May-09,140,70
141,141,292,"As fancy and elegant as everything was, he made us feel comfortable.",6-Mar-12,141,71
142,142,51,"As fancy and elegant as everything was, he made us feel comfortable.",27-Dec-08,142,72
143,143,141,"As fancy and elegant as everything was, he made us feel comfortable.",10-Sep-12,143,73
144,144,260,"As fancy and elegant as everything was, he made us feel comfortable.",21-Jan-12,144,74
145,145,339,"As fancy and elegant as everything was, he made us feel comfortable.",8-Aug-11,145,75
146,146,327,"As fancy and elegant as everything was, he made us feel comfortable.",16-Sep-12,146,76
147,147,29,"As fancy and elegant as everything was, he made us feel comfortable.",2-Oct-11,147,77
148,148,40,"As fancy and elegant as everything was, he made us feel comfortable.",9-Apr-09,148,78
149,149,363,"As fancy and elegant as everything was, he made us feel comfortable.",11-Oct-11,149,79
150,150,198,"As fancy and elegant as everything was, he made us feel comfortable.",18-Sep-12,150,30
151,151,20,"As fancy and elegant as everything was, he made us feel comfortable.",21-Nov-09,151,31
152,152,187,"As fancy and elegant as everything was, he made us feel comfortable.",18-Jun-09,152,32
153,153,15,"As fancy and elegant as everything was, he made us feel comfortable.",28-Mar-12,153,33
154,154,205,"As fancy and elegant as everything was, he made us feel comfortable.",27-Jun-07,154,34
155,155,73,"As fancy and elegant as everything was, he made us feel comfortable.",6-Oct-11,155,35
156,156,349,"As fancy and elegant as everything was, he made us feel comfortable.",3-Feb-11,156,36
157,157,27,"As fancy and elegant as everything was, he made us feel comfortable.",11-Mar-11,157,37
158,158,360,"As fancy and elegant as everything was, he made us feel comfortable.",10-Dec-07,158,38
159,159,56,"As fancy and elegant as everything was, he made us feel comfortable.",27-Jun-10,159,39
160,160,314,"As fancy and elegant as everything was, he made us feel comfortable.",1-Jan-12,160,40
161,161,131,"As fancy and elegant as everything was, he made us feel comfortable.",25-Nov-11,161,41
162,162,128,"As fancy and elegant as everything was, he made us feel comfortable.",1-Apr-07,162,42
163,163,96,"As fancy and elegant as everything was, he made us feel comfortable.",28-Jul-07,163,43
164,164,23,"As fancy and elegant as everything was, he made us feel comfortable.",7-Apr-10,164,44
165,165,277,"As fancy and elegant as everything was, he made us feel comfortable.",1-May-10,165,45
166,166,255,"As fancy and elegant as everything was, he made us feel comfortable.",9-May-10,166,46
167,167,146,"As fancy and elegant as everything was, he made us feel comfortable.",1-Dec-11,167,47
168,168,179,"As fancy and elegant as everything was, he made us feel comfortable.",25-Feb-08,168,48
169,169,22,"As fancy and elegant as everything was, he made us feel comfortable.",5-Jun-07,169,49
170,170,260,"As fancy and elegant as everything was, he made us feel comfortable.",19-Mar-07,170,50
171,171,86,"As fancy and elegant as everything was, he made us feel comfortable.",7-Feb-11,171,51
172,172,160,"As fancy and elegant as everything was, he made us feel comfortable.",25-Aug-10,172,52
173,173,182,"As fancy and elegant as everything was, he made us feel comfortable.",20-Sep-11,173,53
174,174,262,"As fancy and elegant as everything was, he made us feel comfortable.",12-Mar-11,174,54
175,175,172,"As fancy and elegant as everything was, he made us feel comfortable.",23-Oct-08,175,55
176,176,212,"As fancy and elegant as everything was, he made us feel comfortable.",3-Feb-11,176,56
177,177,255,"As fancy and elegant as everything was, he made us feel comfortable.",17-May-12,177,57
178,178,367,"As fancy and elegant as everything was, he made us feel comfortable.",30-May-07,178,58
179,179,60,"As fancy and elegant as everything was, he made us feel comfortable.",25-Aug-08,179,59
180,180,33,"As fancy and elegant as everything was, he made us feel comfortable.",12-Jan-13,180,60
181,181,186,"As fancy and elegant as everything was, he made us feel comfortable.",27-Jun-08,181,61
182,182,241,"As fancy and elegant as everything was, he made us feel comfortable.",22-Apr-11,182,62
183,183,10,"As fancy and elegant as everything was, he made us feel comfortable.",18-Jul-11,183,63
184,184,116,"As fancy and elegant as everything was, he made us feel comfortable.",29-Mar-09,184,64
185,185,84,"As fancy and elegant as everything was, he made us feel comfortable.",23-Mar-07,185,65
186,186,216,"As fancy and elegant as everything was, he made us feel comfortable.",2-Sep-08,186,66
187,187,154,"As fancy and elegant as everything was, he made us feel comfortable.",4-Sep-09,187,67
188,188,22,"As fancy and elegant as everything was, he made us feel comfortable.",15-Feb-13,188,68
189,189,120,"As fancy and elegant as everything was, he made us feel comfortable.",1-Jun-12,189,69
190,190,61,"As fancy and elegant as everything was, he made us feel comfortable.",10-Mar-13,190,70
191,191,362,"As fancy and elegant as everything was, he made us feel comfortable.",4-Apr-12,191,71
192,192,336,"As fancy and elegant as everything was, he made us feel comfortable.",22-Jul-07,192,72
193,193,211,"As fancy and elegant as everything was, he made us feel comfortable.",15-Aug-11,193,73
194,194,334,"As fancy and elegant as everything was, he made us feel comfortable.",30-Mar-12,194,74
195,195,63,"As fancy and elegant as everything was, he made us feel comfortable.",12-Sep-09,195,75
196,196,109,"As fancy and elegant as everything was, he made us feel comfortable.",18-May-10,196,76
197,197,84,"As fancy and elegant as everything was, he made us feel comfortable.",9-Sep-08,197,77
198,198,312,"As fancy and elegant as everything was, he made us feel comfortable.",19-Jul-10,198,78
199,199,47,"As fancy and elegant as everything was, he made us feel comfortable.",27-Oct-12,199,79
200,200,140,"As fancy and elegant as everything was, he made us feel comfortable.",21-Jun-12,100,30
201,201,368,"As fancy and elegant as everything was, he made us feel comfortable.",14-Sep-07,101,31
202,202,120,"As fancy and elegant as everything was, he made us feel comfortable.",18-Jul-08,102,32
203,203,196,"As fancy and elegant as everything was, he made us feel comfortable.",10-Sep-11,103,33
204,204,85,"As fancy and elegant as everything was, he made us feel comfortable.",22-Feb-11,104,34
205,205,306,"As fancy and elegant as everything was, he made us feel comfortable.",8-Mar-12,105,35
206,206,149,"As fancy and elegant as everything was, he made us feel comfortable.",5-Dec-12,106,36
207,207,343,"As fancy and elegant as everything was, he made us feel comfortable.",25-May-08,107,37
208,208,215,"As fancy and elegant as everything was, he made us feel comfortable.",14-Apr-07,108,38
209,209,283,"As fancy and elegant as everything was, he made us feel comfortable.",13-Jan-08,109,39
210,210,224,"As fancy and elegant as everything was, he made us feel comfortable.",10-Apr-09,110,40
211,211,363,"As fancy and elegant as everything was, he made us feel comfortable.",18-Dec-10,111,41
212,212,121,"As fancy and elegant as everything was, he made us feel comfortable.",26-Feb-10,112,42
213,213,255,"As fancy and elegant as everything was, he made us feel comfortable.",3-Mar-10,113,43
214,214,115,"As fancy and elegant as everything was, he made us feel comfortable.",17-Dec-08,114,44
215,215,206,"As fancy and elegant as everything was, he made us feel comfortable.",4-Mar-08,115,45
216,216,13,"As fancy and elegant as everything was, he made us feel comfortable.",24-May-12,116,46
217,217,278,"As fancy and elegant as everything was, he made us feel comfortable.",14-Nov-11,117,47
218,218,229,"As fancy and elegant as everything was, he made us feel comfortable.",15-May-12,118,48
219,219,157,"As fancy and elegant as everything was, he made us feel comfortable.",24-Aug-10,119,49
220,220,331,"As fancy and elegant as everything was, he made us feel comfortable.",1-May-08,120,50
221,221,347,"As fancy and elegant as everything was, he made us feel comfortable.",23-Jul-12,121,51
222,222,93,"As fancy and elegant as everything was, he made us feel comfortable.",14-Apr-08,122,52
223,223,294,"As fancy and elegant as everything was, he made us feel comfortable.",29-Jan-08,123,53
224,224,250,"As fancy and elegant as everything was, he made us feel comfortable.",27-Feb-09,124,54
225,225,113,"As fancy and elegant as everything was, he made us feel comfortable.",21-May-12,125,55
226,226,328,"As fancy and elegant as everything was, he made us feel comfortable.",5-Feb-13,126,56
227,227,323,"As fancy and elegant as everything was, he made us feel comfortable.",14-Mar-12,127,57
228,228,118,"As fancy and elegant as everything was, he made us feel comfortable.",25-Nov-10,128,58
229,229,347,"As fancy and elegant as everything was, he made us feel comfortable.",23-Jan-12,129,59
230,230,68,"As fancy and elegant as everything was, he made us feel comfortable.",21-Oct-11,130,60
231,231,36,"As fancy and elegant as everything was, he made us feel comfortable.",1-Dec-09,131,61
232,232,288,"As fancy and elegant as everything was, he made us feel comfortable.",9-Sep-08,132,62
233,233,82,"As fancy and elegant as everything was, he made us feel comfortable.",5-Jun-08,133,63
234,234,213,"As fancy and elegant as everything was, he made us feel comfortable.",7-Jul-09,134,64
235,235,146,"As fancy and elegant as everything was, he made us feel comfortable.",16-Jun-11,135,65
236,236,68,"As fancy and elegant as everything was, he made us feel comfortable.",27-Nov-11,136,66
237,237,60,"As fancy and elegant as everything was, he made us feel comfortable.",25-Jul-12,137,67
238,238,74,"As fancy and elegant as everything was, he made us feel comfortable.",22-Aug-11,138,68
239,239,302,"As fancy and elegant as everything was, he made us feel comfortable.",13-Dec-10,139,69
240,240,33,"As fancy and elegant as everything was, he made us feel comfortable.",23-Feb-08,140,70
241,241,5,"As fancy and elegant as everything was, he made us feel comfortable.",14-Aug-08,141,71
242,242,70,"As fancy and elegant as everything was, he made us feel comfortable.",4-Apr-10,142,72
243,243,198,"As fancy and elegant as everything was, he made us feel comfortable.",19-Oct-07,143,73
244,244,114,"As fancy and elegant as everything was, he made us feel comfortable.",1-Sep-09,144,74
245,245,64,"As fancy and elegant as everything was, he made us feel comfortable.",1-Apr-09,145,75
246,246,72,"As fancy and elegant as everything was, he made us feel comfortable.",13-Oct-07,146,76
247,247,254,"As fancy and elegant as everything was, he made us feel comfortable.",27-May-07,147,77
248,248,362,"As fancy and elegant as everything was, he made us feel comfortable.",3-Jul-09,148,78
249,249,165,"As fancy and elegant as everything was, he made us feel comfortable.",8-Aug-09,149,79
250,250,148,"As fancy and elegant as everything was, he made us feel comfortable.",17-Jun-11,150,30
251,251,141,"As fancy and elegant as everything was, he made us feel comfortable.",13-Feb-08,151,31
252,252,204,"As fancy and elegant as everything was, he made us feel comfortable.",17-Dec-07,152,32
253,253,277,"As fancy and elegant as everything was, he made us feel comfortable.",10-Jun-11,153,33
254,254,224,"As fancy and elegant as everything was, he made us feel comfortable.",31-Oct-11,154,34
255,255,171,"As fancy and elegant as everything was, he made us feel comfortable.",13-Dec-07,155,35
256,256,364,"As fancy and elegant as everything was, he made us feel comfortable.",24-Jan-08,156,36
257,257,92,"As fancy and elegant as everything was, he made us feel comfortable.",4-Jun-11,157,37
258,258,291,"As fancy and elegant as everything was, he made us feel comfortable.",20-Jul-12,158,38
259,259,313,"As fancy and elegant as everything was, he made us feel comfortable.",8-Jun-07,159,39
260,260,70,"As fancy and elegant as everything was, he made us feel comfortable.",25-May-10,160,40
261,261,138,"As fancy and elegant as everything was, he made us feel comfortable.",15-May-09,161,41
262,262,231,"As fancy and elegant as everything was, he made us feel comfortable.",25-Oct-12,162,42
263,263,28,"As fancy and elegant as everything was, he made us feel comfortable.",28-Oct-10,163,43
264,264,188,"As fancy and elegant as everything was, he made us feel comfortable.",14-Jan-08,164,44
265,265,84,"As fancy and elegant as everything was, he made us feel comfortable.",21-Jan-11,165,45
266,266,61,"As fancy and elegant as everything was, he made us feel comfortable.",20-Feb-10,166,46
267,267,366,"As fancy and elegant as everything was, he made us feel comfortable.",4-Jun-07,167,47
268,268,338,"As fancy and elegant as everything was, he made us feel comfortable.",2-Mar-11,168,48
269,269,62,"As fancy and elegant as everything was, he made us feel comfortable.",22-Sep-08,169,49
270,270,287,"As fancy and elegant as everything was, he made us feel comfortable.",11-Oct-11,170,50
271,271,359,"As fancy and elegant as everything was, he made us feel comfortable.",7-Jun-09,171,51
272,272,2,"As fancy and elegant as everything was, he made us feel comfortable.",29-Jun-08,172,52
273,273,255,"As fancy and elegant as everything was, he made us feel comfortable.",2-Mar-08,173,53
274,274,276,"As fancy and elegant as everything was, he made us feel comfortable.",20-Jun-11,174,54
275,275,83,"As fancy and elegant as everything was, he made us feel comfortable.",8-Mar-12,175,55
276,276,4,"As fancy and elegant as everything was, he made us feel comfortable.",3-Oct-08,176,56
277,277,105,"As fancy and elegant as everything was, he made us feel comfortable.",4-May-11,177,57
278,278,112,"As fancy and elegant as everything was, he made us feel comfortable.",31-Jul-08,178,58
279,279,369,"As fancy and elegant as everything was, he made us feel comfortable.",26-Sep-07,179,59
280,280,174,"As fancy and elegant as everything was, he made us feel comfortable.",27-Jul-08,180,60
281,281,129,"As fancy and elegant as everything was, he made us feel comfortable.",23-Mar-08,181,61
282,282,233,"As fancy and elegant as everything was, he made us feel comfortable.",31-Oct-09,182,62
283,283,46,"As fancy and elegant as everything was, he made us feel comfortable.",23-Apr-08,183,63
284,284,284,"As fancy and elegant as everything was, he made us feel comfortable.",21-Oct-11,184,64
285,285,69,"As fancy and elegant as everything was, he made us feel comfortable.",21-Jul-07,185,65
286,286,56,"As fancy and elegant as everything was, he made us feel comfortable.",6-Jun-07,186,66
287,287,176,"As fancy and elegant as everything was, he made us feel comfortable.",17-Mar-10,187,67
288,288,213,"As fancy and elegant as everything was, he made us feel comfortable.",9-Nov-08,188,68
289,289,318,"As fancy and elegant as everything was, he made us feel comfortable.",23-Jan-12,189,69
290,290,197,"As fancy and elegant as everything was, he made us feel comfortable.",12-Nov-07,190,70
291,291,262,"As fancy and elegant as everything was, he made us feel comfortable.",15-Jun-07,191,71
292,292,46,"As fancy and elegant as everything was, he made us feel comfortable.",5-May-08,192,72
293,293,106,"As fancy and elegant as everything was, he made us feel comfortable.",27-Dec-10,193,73
294,294,166,"As fancy and elegant as everything was, he made us feel comfortable.",10-Sep-08,194,74
295,295,60,"As fancy and elegant as everything was, he made us feel comfortable.",10-Apr-08,195,75
296,296,89,"As fancy and elegant as everything was, he made us feel comfortable.",11-Apr-09,196,76
297,297,278,"As fancy and elegant as everything was, he made us feel comfortable.",27-Sep-11,197,77
298,298,216,"As fancy and elegant as everything was, he made us feel comfortable.",2-Jan-12,198,78
299,299,306,"As fancy and elegant as everything was, he made us feel comfortable.",30-Jul-10,199,79
300,300,170,"As fancy and elegant as everything was, he made us feel comfortable.",9-Feb-13,100,30
301,301,372,"As fancy and elegant as everything was, he made us feel comfortable.",8-Oct-10,101,31
302,302,288,"As fancy and elegant as everything was, he made us feel comfortable.",26-Jul-10,102,32
303,303,359,"As fancy and elegant as everything was, he made us feel comfortable.",6-Oct-09,103,33
304,304,213,"As fancy and elegant as everything was, he made us feel comfortable.",11-Aug-09,104,34
305,305,302,"As fancy and elegant as everything was, he made us feel comfortable.",19-Dec-07,105,35
306,306,175,"As fancy and elegant as everything was, he made us feel comfortable.",4-Mar-08,106,36
307,307,30,"As fancy and elegant as everything was, he made us feel comfortable.",27-Feb-08,107,37
308,308,33,"As fancy and elegant as everything was, he made us feel comfortable.",8-Apr-09,108,38
309,309,163,"As fancy and elegant as everything was, he made us feel comfortable.",28-Nov-11,109,39
310,310,208,"As fancy and elegant as everything was, he made us feel comfortable.",22-Sep-12,110,40
311,311,350,"As fancy and elegant as everything was, he made us feel comfortable.",19-Jan-09,111,41
312,312,210,"As fancy and elegant as everything was, he made us feel comfortable.",26-Jan-13,112,42
313,313,264,"As fancy and elegant as everything was, he made us feel comfortable.",16-Dec-11,113,43
314,314,130,"As fancy and elegant as everything was, he made us feel comfortable.",16-Mar-12,114,44
315,315,134,"As fancy and elegant as everything was, he made us feel comfortable.",26-Nov-09,115,45
316,316,282,"As fancy and elegant as everything was, he made us feel comfortable.",27-Jul-10,116,46
317,317,194,"As fancy and elegant as everything was, he made us feel comfortable.",24-Mar-12,117,47
318,318,148,"As fancy and elegant as everything was, he made us feel comfortable.",20-Mar-10,118,48
319,319,16,"As fancy and elegant as everything was, he made us feel comfortable.",1-Aug-10,119,49
320,320,109,"As fancy and elegant as everything was, he made us feel comfortable.",12-Aug-12,120,50
321,321,10,"As fancy and elegant as everything was, he made us feel comfortable.",27-Jan-11,121,51
322,322,114,"As fancy and elegant as everything was, he made us feel comfortable.",9-Jul-11,122,52
323,323,55,"As fancy and elegant as everything was, he made us feel comfortable.",28-Nov-08,123,53
324,324,19,"As fancy and elegant as everything was, he made us feel comfortable.",6-Oct-07,124,54
325,325,73,"As fancy and elegant as everything was, he made us feel comfortable.",13-Nov-08,125,55
326,326,289,"As fancy and elegant as everything was, he made us feel comfortable.",13-May-12,126,56
327,327,23,"As fancy and elegant as everything was, he made us feel comfortable.",21-Feb-09,127,57
328,328,160,"As fancy and elegant as everything was, he made us feel comfortable.",9-Apr-11,128,58
